Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,FR,F,6-10,220,"Fayetville, GA",Sandy Creek HS,4 (2021),"16.9 Pts, 7.4 Reb, 2.0 Ast",
0,SO,G,6-1,190,"Atlanta, GA",Hargrave Military Academy,86 (2020),"12.3 Pts, 2.9 Reb, 1.6 Ast",
1,SO,G,5-11,170,"Detroit, MI",La Lumiere School,,"12.0 Pts, 3.7 Reb, 5.1 Ast",
13,SO,F,7-1,245,"Newnan, GA",Woodward Academy,18 (2020),"11.4 Pts, 8.1 Reb, 0.9 Ast",
2,JR,F,6-8,230,"Nahunta, GA",Brantley County (GA),79 (2020),"5.6 Pts, 2.7 Reb, 0.8 Ast",
35,JR,G,6-6,215,"Nashville, TN",Hillcrest Prep,,"5.3 Pts, 3.6 Reb, 0.6 Ast",
12,SR,G,6-1,175,"Augusta, GA",Laney (GA),,"5.1 Pts, 1.3 Reb, 2.1 Ast",
22,JR,G,6-6,215,"Little Rock, AR",Parkview Magnet High (AR),,"6.3 Pts, 3.5 Reb, 1.3 Ast",
44,SO,C,6-11,250,"Augusta, GA",McEachern HS,,"3.0 Pts, 3.0 Reb, 0.5 Ast",
5,SO,F,6-6,240,"West Memphis, AR",West Memphis HS,,"1.7 Pts, 1.4 Reb, 0.2 Ast",
24,JR,G,6-4,215,"Birmingham, AL",Mountain Brook HS,,"2.0 Pts, 0.7 Reb, 0.3 Ast",
14,SR,G,6-4,205,"Auburn, AL",Auburn HS,,"0.7 Pts, 0.2 Reb, 0.1 Ast",
25,JR,G,6-3,195,"Athens, AL",Athens (AL),,"0.7 Pts, 0.1 Reb, 0.0 Ast",
20,SO,G,6-5,187,"Birmingham, AL",Mountain Brook HS,,"0.8 Pts, 1.0 Reb, 0.0 Ast",
23,JR,C,6-10,245,"Powder Springs, GA",McEachern HS,,"0.3 Pts, 0.8 Reb, 0.2 Ast",
21,JR,F,6-7,244,"Greensboro, NC",Bishop McGuinness HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
33,JR,G,6-0,175,"Sarasota, FL",The Out-of-Door Academy,,"0.0 Pts, 0.0 Reb, 0.1 Ast",
