Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
32,SR,G,6-5,200,"New York, NY",Notre Dame Preparatory,,"25.2 Pts, 5.8 Reb, 3.2 Ast",
5,JR,G,6-4,185,"Syracuse, NY",Putnam Science (CT),,"17.7 Pts, 8.6 Reb, 2.4 Ast",
3,SR,G,6-5,205,"Toronto, Canada",Toronto Basketball Academy (ON),,"10.3 Pts, 4.9 Reb, 0.9 Ast",
34,SR,F,6-8,230,"Valley Stream, NY",Valley Stream South (NY),,"8.8 Pts, 5.9 Reb, 0.7 Ast",
15,SR,F,6-8,235,"Mount Vernon, NY",Mount Vernon High School,,"6.2 Pts, 5.1 Reb, 0.5 Ast",
10,SR,G,6-6,210,"Merida, Venezuela",The Sagemont School,,"4.4 Pts, 4.2 Reb, 3.7 Ast",
4,SO,G,6-4,175,"Ellicott City, MD",Mount Saint Joseph HS,,"3.6 Pts, 1.6 Reb, 1.9 Ast",
30,SR,G,6-2,180,"Bronx, NY",Woodstock Academy (CT),,"7.2 Pts, 1.8 Reb, 0.9 Ast",
2,SO,G,5-11,165,"Pawtucket, RI",Shea HS,,"2.8 Pts, 1.5 Reb, 0.5 Ast",
22,SO,F,6-7,230,"Mahomet, IL",Mahomet-Seymour HS,,"3.1 Pts, 1.7 Reb, 1.0 Ast",
50,FR,G,6-5,220,"Johannesburg, South Africa",IMG Academy,,"0.9 Pts, 0.7 Reb, 0.2 Ast",
33,FR,G,6-3,180,"Pittsburgh, PA",First Love Christian Academy,,"0.5 Pts, 0.3 Reb, 0.0 Ast",
11,FR,G,5-11,157,"Bergenfield, NJ",Frisch School,,"1.3 Pts, 1.0 Reb, 0.3 Ast",
1,SO,G,6-1,185,"Westland, MI",Woodstock Academy,,"0.4 Pts, 0.6 Reb, 0.0 Ast",
12,JR,G,6-0,170,"Westbury, NY",Holy Trinity (NY),,"0.0 Pts, 0.5 Reb, 0.2 Ast",
