Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,G,6-2,180,"Ulverstone, Australia",Centre of Excellence (Australia),,"12.8 Pts, 2.1 Reb, 1.7 Ast",
10,JR,F,6-10,229,"Zagreb, Croatia",Zdravstveno uciliste Zagreb (Croatia),,"12.1 Pts, 6.3 Reb, 2.4 Ast",
,JR,F,6-7,200,"Fort Mill, SC",Carmel Christian School,,"11.9 Pts, 4.5 Reb, 0.9 Ast",
1,SR,F,6-7,215,"New Hartford, NY",Long Island Lutheran HS,,"9.5 Pts, 5.1 Reb, 0.7 Ast",
,JR,G,6-3,180,"Cincinnati, OH",St. Xavier (OH),,"9.7 Pts, 4.6 Reb, 2.2 Ast",
4,SR,G,6-5,205,"Latrobe, PA",Greater Latrobe Senior (PA),,"8.3 Pts, 3.8 Reb, 1.3 Ast",
,FR,F,6-11,210,"Fayetteville, NC",E.E. Smith (NC),,"5.0 Pts, 3.4 Reb, 0.6 Ast",
,SO,G,6-2,180,"Charlotte, NC",North Mecklenburg (NC),,"4.7 Pts, 0.8 Reb, 0.6 Ast",
6,JR,G,6-2,185,"Belfast, Republic of Ireland",St. Malachy's HS,,"4.1 Pts, 3.1 Reb, 4.1 Ast",
,SO,G,6-3,185,"Wyandanch, NY",St. Dominic (NY); Scotland Campus (PA),,"3.0 Pts, 1.4 Reb, 0.6 Ast",
,FR,F,6-8,185,"Raleigh, NC",Word of God Christian Academy (NC),,"1.1 Pts, 1.5 Reb, 0.2 Ast",
7,SO,G,6-1,180,"Newcastle, Australia",Centre of Excellence (Australia),,"0.7 Pts, 0.7 Reb, 0.8 Ast",
,SO,F,6-6,195,"Washington, DC",Woodberry Forest (VA); IMG Academy (FL),,"0.9 Pts, 0.3 Reb, 0.0 Ast",
50,JR,F,6-9,220,"Spartanburg, SC",Broome HS,,"0.4 Pts, 0.4 Reb, 0.0 Ast",
31,JR,G,5-11,180,"Ocean Township, NJ",Ocean Township HS,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
45,JR,G,6-1,185,"Zionsville, IN",Zionsville HS,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
