Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
21,JR,G,6-5,252,"Minneapolis, MN",Breck School,,"19.2 Pts, 7.5 Reb, 2.9 Ast",
4,JR,G,6-0,180,"Allen, TX",Allen HS,,"14.7 Pts, 3.2 Reb, 4.7 Ast",
1,JR,G,6-5,222,"Omaha, NE",Omaha Central HS,,"9.1 Pts, 3.0 Reb, 0.9 Ast",
3,SR,G,5-10,151,"Danville, IL",Danville HS,,"6.5 Pts, 2.6 Reb, 1.9 Ast",
11,JR,F,6-9,232,"Durham, NC",Hillcrest Prep,,"5.7 Pts, 3.1 Reb, 1.0 Ast",
13,SR,G,6-3,185,"Missouri City, TX",Elkins (TX),,"5.7 Pts, 4.1 Reb, 0.7 Ast",
10,SO,F,6-10,239,"Auckland, New Zealand",Westlake Boys (New Zealand),,"4.0 Pts, 2.5 Reb, 0.7 Ast",
15,FR,G,6-4,185,"Waxahachie, TX",Waxahachie HS,,"3.6 Pts, 1.1 Reb, 0.5 Ast",
23,SO,G,6-5,209,"Geneseo, IL",Geneseo HS,,"3.4 Pts, 1.5 Reb, 0.5 Ast",
31,SR,F,6-6,212,"Golden, CO",Golden HS,,"2.4 Pts, 1.8 Reb, 0.6 Ast",
5,SO,G,6-2,170,"Colleyville, TX",Heritage HS,,"0.5 Pts, 0.1 Reb, 0.2 Ast",
22,JR,F,6-4,193,"Colorado Springs, CO",Cheyenne Mountain (CO),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
35,SO,C,6-11,232,"Sauk Centre, MN",Sauk Centre Secondary HS,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
0,SO,G,6-3,176,"Austin, TX",Dripping Springs HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
