Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,JR,G,6-2,195,"Lake Wales, FL",Bartow HS,,"17.6 Pts, 3.6 Reb, 2.6 Ast",
0,SR,G,6-4,195,"Pleasant Hill, CA",College Park HS,,"15.5 Pts, 3.9 Reb, 4.9 Ast",
4,SR,F,6-10,235,"MontrÃ©al, Canada",Orangeville Prep,,"13.9 Pts, 7.4 Reb, 1.9 Ast",
5,JR,G,6-5,195,"Fairburn, GA",Woodward Academy,,"11.4 Pts, 3.9 Reb, 1.3 Ast",
,SO,G,6-5,207,"Orlando, FL",Dr. Phillips (FL),60 (2022),"9.2 Pts, 3.5 Reb, 1.5 Ast",
21,FR,F,6-11,230,"Perth, Australia",BA Centre of Excellence (Australia),,"7.7 Pts, 6.4 Reb, 1.2 Ast",
3,SO,C,7-1,212,"Huntersville, NC",Southlake Christian (NC),,"5.3 Pts, 6.9 Reb, 0.8 Ast",
10,FR,F,6-9,210,"New Oxford, PA",Perkiomen School (PA),,"3.9 Pts, 3.7 Reb, 0.6 Ast",
11,SO,G,6-5,189,"Orlando, FL",Dr. Phillips (FL),,"3.3 Pts, 0.9 Reb, 0.7 Ast",
,SR,G,6-5,190,"Sherman Oaks, CA","Notre Dame (Sherman Oaks, CA)",,"1.6 Pts, 1.6 Reb, 0.8 Ast",
30,FR,G,6-2,171,"Kaunas, Lithuania",Å½algiris Kaunas (Lithuania),,"0.8 Pts, 0.3 Reb, 0.4 Ast",
22,SR,G,6-2,190,"Tampa, FL",Jesuit (FL),,"0.5 Pts, 0.0 Reb, 0.0 Ast",
33,FR,G,6-4,195,"Miami, FL",Riviera Prep (FL),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
12,SR,G,6-4,185,"Colts Neck, NJ",Ranney School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
20,JR,G,6-4,175,"Boca Raton, FL",Saint Andrew's School,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
