Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,JR,F,6-10,235,"Richardson, TX",Pearce (TX),42 (2019),"18.4 Pts, 6.8 Reb, 2.8 Ast",
34,FR,C,7-0,195,"Minneapolis, MN",Minnehaha HS,1 (2021),"14.1 Pts, 9.9 Reb, 1.9 Ast",
3,SR,G,6-5,193,"Aurora, Canada",Montverde Academy,25 (2018),"11.8 Pts, 3.4 Reb, 5.8 Ast",
0,SO,G,6-7,205,"Las Vegas, NV",Liberty HS,58 (2020),"11.8 Pts, 5.4 Reb, 1.0 Ast",
45,SR,G,6-3,185,"Petersburg, VA",Massanutten Academy,,"11.2 Pts, 2.4 Reb, 2.3 Ast",
22,JR,F,6-8,225,"Spokane, WA",Gonzaga Prep,48 (2019),"7.3 Pts, 4.7 Reb, 1.9 Ast",
11,FR,G,6-2,185,"Seattle, WA",Wasatch Academy,26 (2021),"5.1 Pts, 1.5 Reb, 1.3 Ast",
10,FR,G,6-5,175,"Omaha, NE",Millard North HS,15 (2021),"4.3 Pts, 2.0 Reb, 0.6 Ast",
33,FR,F,6-10,225,"Clackamas, OR",Clackamas HS,,"2.4 Pts, 2.0 Reb, 0.6 Ast",
23,SR,G,6-3,185,"Portland, OR",Jesuit HS,,"1.0 Pts, 0.8 Reb, 0.2 Ast",
5,JR,G,6-7,205,"Kaunas, Lithuania",President Valdas Adamkus (Lithuania),87 (2019),"0.9 Pts, 0.8 Reb, 0.0 Ast",
20,FR,F,6-9,225,"Battle Ground, WA",Battle Ground HS,50 (2021),"1.8 Pts, 2.3 Reb, 0.1 Ast",
35,SR,G,6-5,185,"Eugene, OR",South Eugene HS,,"0.7 Pts, 0.3 Reb, 0.0 Ast",
15,FR,G,6-0,160,"Spokane, WA",Gonzaga Prep,,"0.1 Pts, 0.7 Reb, 0.3 Ast",
