Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
00,JR,G,6-1,185,"Lanett, AL",Lannett (AL),,"13.0 Pts, 3.0 Reb, 1.0 Ast",
5,SR,G,6-1,170,"Shreveport, LA",Woodlawn HS,,"11.9 Pts, 2.9 Reb, 2.7 Ast",
11,SR,F,6-7,195,"New Orleans, LA",Archbishop Shaw (LA); Cy-Fair (TX); Sunrise Christian (KS),,"9.8 Pts, 4.6 Reb, 1.0 Ast",
10,JR,F,6-7,230,"Indianapolis, IN",Emerich Manual HS,,"7.3 Pts, 3.8 Reb, 0.5 Ast",
11,SO,F,6-5,195,"Montgomery, AL",Sidney Lanier (AL),,"10.0 Pts, 5.9 Reb, 1.6 Ast",
24,SR,G,6-6,200,"Milwaukee, WI",Riverside High School,93 (2017),"7.9 Pts, 2.3 Reb, 0.3 Ast",
2,FR,G,6-2,175,"Ft. Wayne, IN","South Side (Fort Wayne, IN)",,"4.8 Pts, 1.8 Reb, 2.1 Ast",
12,SR,F,6-10,263,"Kaduna, Nigeria",Ischool Entrepreneurial Academy,,"4.5 Pts, 5.1 Reb, 0.4 Ast",
1,SO,G,6-3,182,"Marcos, TX",St. Andrew's Episcopal (TX),,"3.4 Pts, 1.5 Reb, 0.3 Ast",
2,SR,G,6-3,170,"Dallas, TX",Carter HS,,"1.7 Pts, 1.0 Reb, 0.4 Ast",
23,JR,G,6-4,175,"Milwaukee, WI",Rufus King HS,,"1.6 Pts, 1.1 Reb, 0.3 Ast",
,JR,F,6-11,235,"Champlin, MN",Shadow Mountain (MN),,"0.6 Pts, 0.7 Reb, 0.2 Ast",
25,SO,F,6-4,180,"Washington, DC",DeMatha Catholic (MD),,"1.2 Pts, 0.2 Reb, 0.2 Ast",
22,SO,F,6-7,222,"Hopkins, MN",Hopkins (MN),,"0.3 Pts, 2.0 Reb, 0.0 Ast",
