Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,,"18.8 Pts, 5.1 Reb, 1.6 Ast",
2,JR,G,6-6,205,"Overland Park, KS",Blue Valley Northwest HS,,"14.1 Pts, 6.5 Reb, 2.8 Ast",
33,SR,F,6-10,265,"Norfolk, VA",Oak Hill Academy,30 (2018),"10.6 Pts, 7.0 Reb, 0.9 Ast",
10,SO,F,6-8,215,"Denton, TX",John H. Guyer HS,51 (2019),"11.1 Pts, 7.4 Reb, 1.8 Ast",
11,SR,G,6-0,175,"Chatsworth, CA",Sierra Canyon School,,"8.6 Pts, 3.0 Reb, 2.5 Ast",
3,JR,G,6-1,160,"Columbia, MO",Rock Bridge HS,,"5.4 Pts, 1.4 Reb, 4.2 Ast",
44,SR,F,6-8,225,"Gilbert, AZ",Ironwood Ridge High School,,"4.6 Pts, 2.8 Reb, 0.4 Ast",
55,SR,G,6-4,187,"Indianapolis, IN",La Lumiere HS,38 (2015),"3.7 Pts, 0.7 Reb, 0.3 Ast",
1,SO,G,6-0,180,"Bolingbrook, IL",Bolingbrook HS,,"2.1 Pts, 0.9 Reb, 1.0 Ast",
21,FR,F,6-10,225,"San Antonio, TX",Sunrise Christian Academy,43 (2021),"2.1 Pts, 1.8 Reb, 0.4 Ast",
24,FR,F,6-7,225,"Austin, TX",Westlake HS,66 (2021),"1.0 Pts, 0.8 Reb, 0.3 Ast",
0,FR,G,6-1,190,"Durham, NC",South Granville HS,98 (2021),"1.4 Pts, 0.9 Reb, 0.9 Ast",
12,SR,G,6-4,195,"Leawood, KS",Rockhurst High School,,"0.7 Pts, 0.2 Reb, 0.1 Ast",
20,JR,G,6-5,185,"Dallas, TX",Northfield Mount Hermon School (MA),,"0.6 Pts, 0.2 Reb, 0.0 Ast",
