Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
21,SR,F,6-11,235,"Roseville, CA",Prolific Prep,20 (2018),"19.3 Pts, 8.6 Reb, 1.8 Ast",
13,SR,G,6-3,200,"Lafayette, LA",Lafayette Christian Academy,,"12.7 Pts, 3.4 Reb, 1.3 Ast",
34,SR,F,6-7,208,"Upper Marlboro, MD",Combine Academy HS,,"10.9 Pts, 7.5 Reb, 1.0 Ast",
0,SO,G,6-1,185,"Winston-Salem, NC",North Davidson HS,,"9.2 Pts, 2.9 Reb, 6.0 Ast",
22,JR,G,6-1,165,"Donaldsonville, LA",Catholic HS,,"6.5 Pts, 2.1 Reb, 0.8 Ast",
5,SR,G,6-2,170,"Lafayette, LA",Lafayette (LA),,"5.9 Pts, 1.3 Reb, 0.8 Ast",
1,SO,F,6-7,195,"Carencro, LA",Carencro HS,,"5.4 Pts, 4.1 Reb, 0.6 Ast",
4,SR,F,6-6,215,"Baton Rouge, LA",Madison Prep,,"4.1 Pts, 1.3 Reb, 0.6 Ast",
2,JR,G,6-1,160,"Lake Charles, LA",Hamilton Christian HS,,"3.1 Pts, 1.1 Reb, 1.9 Ast",
35,JR,F,6-10,225,"Brooklyn, NY",Commonwealth Academy,,"1.5 Pts, 1.9 Reb, 0.1 Ast",
3,FR,G,6-6,185,"Richmond, TX",Foster (TX),,"2.7 Pts, 1.6 Reb, 0.3 Ast",
30,FR,G,6-1,165,"Plano, TX",Prestonwood Christian (TX),,"2.8 Pts, 0.2 Reb, 0.4 Ast",
