Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,G,5-8,155,"Springfield, IL",Lanphier High School,,"13.9 Pts, 3.2 Reb, 4.2 Ast",
13,SR,F,6-9,240,"London, United Kingdom",Barking Abbey (England),,"12.8 Pts, 6.7 Reb, 1.1 Ast",
5,SR,G,6-5,190,"London, United Kingdom",Barking Abbey (England),,"11.4 Pts, 4.7 Reb, 1.7 Ast",
21,JR,F,6-5,185,"Tulalip, WA",Marysville-Pilchuck HS,78 (2019),"8.5 Pts, 2.4 Reb, 0.8 Ast",
0,SR,G,6-7,200,"Ottawa, Canada",Bell (ON),,"7.6 Pts, 6.5 Reb, 1.6 Ast",
11,SO,G,6-8,180,"Snoqualmie, WA",Mount Si HS,,"7.1 Pts, 1.3 Reb, 0.7 Ast",
3,FR,F,6-8,245,"Bradford, United Kingdom",Myerscough College (England),,"6.0 Pts, 4.2 Reb, 0.7 Ast",
2,JR,G,6-4,190,"Humble, TX",Atascocita (TX),,"5.3 Pts, 0.5 Reb, 0.5 Ast",
25,FR,F,6-7,215,"Sheridan, WY",Sheridan HS,,"2.0 Pts, 1.4 Reb, 0.6 Ast",
10,FR,G,6-7,190,"Palmer, AK",Colony HS,,"2.0 Pts, 0.9 Reb, 0.3 Ast",
24,SO,G,6-3,165,"Dartmouth, Canada",Rothesay Netherwood School,,"1.1 Pts, 0.9 Reb, 0.9 Ast",
15,SO,G,6-6,180,"Anchorage, AK",Mt. Zion Christian Academy,,"3.2 Pts, 1.0 Reb, 1.8 Ast",
20,FR,G,6-4,170,"Las Vegas, NV",Bella Vista Prep (AZ),,"1.3 Pts, 0.3 Reb, 0.3 Ast",
23,JR,F,6-7,230,"Bilbao, Spain",Askartza Bizkaia (Spain),,"0.4 Pts, 0.6 Reb, 0.0 Ast",
14,FR,G,6-0,165,"Bozeman, MT",Bozeman HS,,"1.0 Pts, 0.3 Reb, 0.3 Ast",
