Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SO,G,6-4,160,"Greenville, NC",Farmville Central (NC),94 (2021),"17.9 Pts, 3.6 Reb, 4.1 Ast",
1,SR,G,6-1,180,"Oxford, MS",Oxford High School,,"17.0 Pts, 4.8 Reb, 3.6 Ast",
30,SR,F,6-9,260,"Rock Hill, SC",York Preparatory Academy,,"12.5 Pts, 4.8 Reb, 1.5 Ast",
14,SR,G,6-3,196,"Fort Washington, MD",Saint John's College HS (DC),58 (2019),"11.8 Pts, 4.4 Reb, 0.9 Ast",
5,SR,G,6-8,182,"Cheltenham, PA",Cheltenham HS,,"9.0 Pts, 6.9 Reb, 1.5 Ast",
24,SO,F,6-9,190,"Alachua, FL",Santa Fe (FL),69 (2021),"3.5 Pts, 2.5 Reb, 0.3 Ast",
11,SR,F,6-10,230,"Belgrade, Serbia",Niles Notre Dame (IL),,"8.7 Pts, 6.6 Reb, 1.2 Ast",
4,FR,G,6-2,205,"Plant City, FL",Columbia (GA); Camp Jewell (GA); Bull City Prep (NC),,"2.4 Pts, 2.1 Reb, 0.5 Ast",
21,JR,F,6-11,235,"Accra, Ghana",The Heritage School,,"1.7 Pts, 1.9 Reb, 0.0 Ast",
10,SO,G,6-0,175,"Reidsville, NC",Reidsville (NC),,"1.5 Pts, 0.8 Reb, 0.3 Ast",
23,SR,F,6-8,220,"Fayetteville, NC",Trinity Christian (NC),61 (2019),"2.0 Pts, 4.5 Reb, 0.4 Ast",
22,FR,G,6-2,165,"Cary, NC",Panther Creek (NC),,"0.4 Pts, 0.2 Reb, 0.0 Ast",
12,SR,G,6-1,170,"Raleigh, NC",Athens Drive (NC),,"0.3 Pts, 0.3 Reb, 0.0 Ast",
13,FR,G,5-10,155,"Cary, NC",Grace Christian (NC),,"0.0 Pts, 0.1 Reb, 0.0 Ast",
20,SO,G,6-2,180,"Cary, NC",Cary Academy,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
