Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,JR,G,6-2,170,"Lexington, KY",Henry Clay HS,,"18.8 Pts, 2.3 Reb, 2.6 Ast",
2,SO,G,6-5,195,"Fort Thomas, KY",Highlands HS,,"11.8 Pts, 4.3 Reb, 2.8 Ast",
22,SR,G,6-3,190,"Harrodsburg, KY",Mercer County HS,,"8.4 Pts, 2.7 Reb, 0.9 Ast",
11,SR,G,6-1,170,"Lee's Summit, MO",Rockhurst (MO),,"7.7 Pts, 2.4 Reb, 3.6 Ast",
1,JR,G,6-6,200,"Hamilton, Canada",Hamilton HS,,"7.0 Pts, 3.7 Reb, 1.6 Ast",
21,SR,F,6-8,212,"Houston, TX",Bellaire HS,,"6.7 Pts, 9.9 Reb, 0.8 Ast",
34,SO,G,6-2,170,"Vilnius, Lithuania",Christopher Columbus HS,,"2.8 Pts, 0.6 Reb, 0.5 Ast",
10,FR,C,7-0,210,"Paramaribo, Suriname",Central Florida Christian Academy,,"2.6 Pts, 2.8 Reb, 0.1 Ast",
4,FR,G,6-3,185,"Buford, GA",Buford (GA),,"2.9 Pts, 0.9 Reb, 0.4 Ast",
5,FR,F,6-8,205,"Eau Claire, WI",Eau Claire Memorial (WI),,"1.6 Pts, 2.0 Reb, 0.4 Ast",
24,JR,G,6-1,170,"Louisville, KY",Male HS,,"0.7 Pts, 0.2 Reb, 0.7 Ast",
0,SO,G,6-4,175,"Bowling Green, KY",Bowling Green HS,,"0.4 Pts, 0.6 Reb, 0.0 Ast",
42,JR,C,7-1,205,"Union, KY",Covington Catholic HS,,"0.3 Pts, 1.0 Reb, 0.0 Ast",
12,FR,G,5-10,175,"Taylor Mill, KY",Scott (KY),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
13,FR,G,5-11,190,"Louisville, KY",St. Xavier (KY),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
