Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,SR,G,6-1,165,"Rockwall, TX",Jesuit Dallas HS,,"21.9 Pts, 4.4 Reb, 4.0 Ast",
35,SR,F,7-3,247,"Little Rock, AR",Findlay Prep,,"12.7 Pts, 7.2 Reb, 0.8 Ast",
10,JR,G,6-1,190,"Little Rock, AR",Baptist Prep,,"11.8 Pts, 2.7 Reb, 2.6 Ast",
11,SR,G,6-5,195,"Tartu, Estonia",Tartu Art (Estonia),,"9.0 Pts, 4.1 Reb, 2.3 Ast",
2,SR,G,6-6,190,"Florence, AL",Florence (AL),,"8.5 Pts, 5.7 Reb, 3.0 Ast",
32,JR,F,6-7,201,"Bukavu, Democratic Republic of the Congo",NBA Academy Africa,,"7.9 Pts, 5.4 Reb, 0.6 Ast",
14,SR,F,6-8,200,"Houston, TX",Cypress Falls HS,,"6.4 Pts, 2.1 Reb, 0.2 Ast",
20,JR,G,6-2,178,"Tulsa, OK",Booker T. Washington HS,,"3.8 Pts, 1.4 Reb, 1.0 Ast",
0,SO,F,6-6,210,"Fulshear, TX",Dream City Christian HS,,"2.2 Pts, 0.7 Reb, 0.2 Ast",
13,JR,C,6-8,255,"Port Arthur, TX",Port Arthur Memorial HS,,"1.8 Pts, 1.3 Reb, 0.0 Ast",
5,FR,G,6-2,160,"Pearland, TX",Shadow Creek (TX),,"1.1 Pts, 0.7 Reb, 0.5 Ast",
4,SR,G,6-4,215,"Ada, OK",Ada (OK),,"0.7 Pts, 0.9 Reb, 0.1 Ast",
23,SO,F,6-9,210,"Houston, TX",Legacy the School of Sport Sciences,,"0.0 Pts, 1.0 Reb, 0.0 Ast",
