Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
11,SR,F,6-10,245,"Tallinn, Estonia",Audentese (Estonia),,"12.6 Pts, 6.1 Reb, 2.1 Ast",
12,SR,G,6-2,185,"Mesa, AZ",Mountain View High School,,"12.2 Pts, 3.7 Reb, 3.7 Ast",
0,SR,G,6-2,170,"Mountain View, CA",Saint Francis HS,,"11.9 Pts, 4.1 Reb, 2.6 Ast",
44,JR,G,6-6,215,"Geraldton, Australia",Centre of Excellence (Australia),,"10.3 Pts, 3.7 Reb, 0.9 Ast",
42,SR,F,6-7,225,"Auckland, New Zealand",Rangitoto (New Zealand),,"6.3 Pts, 3.0 Reb, 0.5 Ast",
14,JR,F,6-8,225,"Perth, Australia",Centre of Excellence (Australia),,"5.6 Pts, 5.5 Reb, 1.3 Ast",
3,FR,G,6-4,185,"Vilnius, Lithuania",BC Perlas (Lithuania); Rytas Vilnius (Lithuania),,"3.1 Pts, 1.0 Reb, 1.8 Ast",
5,SO,G,6-5,190,"Snoqualmie, WA",Mount Si HS,,"2.9 Pts, 1.0 Reb, 0.3 Ast",
10,SO,C,6-10,230,"Seattle, WA",Ingraham HS,,"3.3 Pts, 2.3 Reb, 0.1 Ast",
25,SO,F,6-6,205,"Bermuda Dunes, CA",Pacifica Christian HS,,"1.7 Pts, 0.6 Reb, 0.0 Ast",
23,SO,G,6-6,215,"Tallinn, Estonia",TalTech (Estonia),,"1.9 Pts, 0.8 Reb, 0.3 Ast",
33,FR,G,6-6,190,"Piedmont, CA",Piedmont HS,,"1.1 Pts, 0.9 Reb, 0.4 Ast",
2,JR,G,6-3,185,"Christchurch, New Zealand",Christchurch Boys' HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
