Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-2,170,"Mountain View, CA",Saint Francis HS,,"14.5 Pts, 5.0 Reb, 3.6 Ast",
20,FR,G,6-3,180,"Lafayette, CA",Campolindo (CA),,"13.9 Pts, 2.1 Reb, 2.0 Ast",
44,SR,G,6-6,215,"Geraldton, Australia",Centre of Excellence (Australia),,"12.5 Pts, 4.3 Reb, 1.0 Ast",
11,JR,C,6-10,230,"Seattle, WA",Ingraham HS,,"11.6 Pts, 7.6 Reb, 1.7 Ast",
3,SO,G,6-4,185,"Vilnius, Lithuania",BC Perlas (Lithuania); Rytas Vilnius (Lithuania),,"5.9 Pts, 1.2 Reb, 1.6 Ast",
14,SR,F,6-8,225,"Perth, Australia",Centre of Excellence (Australia),,"5.3 Pts, 7.1 Reb, 1.7 Ast",
1,FR,C,7-1,255,"Boddington, Australia",Centre of Excellence (Australia),,"2.6 Pts, 1.8 Reb, 0.3 Ast",
5,FR,F,6-8,220,"Las Vegas, NV",Liberty (NV),,"2.2 Pts, 1.4 Reb, 0.5 Ast",
33,SO,G,6-6,190,"Piedmont, CA",Piedmont HS,,"2.4 Pts, 2.0 Reb, 0.1 Ast",
15,FR,G,6-6,185,"Sandiego, CA",Torrey Pines (CA),,"0.6 Pts, 0.4 Reb, 0.1 Ast",
