Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,JR,G,6-3,165,"Los Angeles, CA",The Patrick School,,"11.3 Pts, 2.6 Reb, 1.4 Ast",
11,SR,G,6-7,195,"Elmont, NY",Abraham Lincoln HS,,"10.5 Pts, 6.1 Reb, 2.4 Ast",
25,JR,G,6-2,185,"Nutley, NJ",Bergen Catholic (NJ),,"9.5 Pts, 2.5 Reb, 0.9 Ast",
10,JR,F,6-7,192,"Bamako, Mali",Our Savior New American (NY),,"7.0 Pts, 6.4 Reb, 0.7 Ast",
14,JR,F,6-7,190,"Bamako, Mali",Our Savior New American (NY),,"6.0 Pts, 5.3 Reb, 0.8 Ast",
15,JR,G,6-0,160,"San Juan, Puerto Rico",Dohn (OH),,"6.8 Pts, 1.8 Reb, 2.9 Ast",
32,FR,G,5-11,175,"Putnam, CT",Putnam Science Academy,,"5.8 Pts, 1.6 Reb, 1.6 Ast",
13,SR,G,6-3,175,"Jersey City, NJ",Ferris (NJ),,"4.8 Pts, 2.3 Reb, 0.8 Ast",
12,FR,F,6-8,245,"Philadelphia, PA",Miller School of Albmarle,,"4.4 Pts, 2.6 Reb, 0.7 Ast",
24,SO,F,6-10,200,"Dakar, Senegal",Canarias Academy (Spain),,"1.9 Pts, 2.0 Reb, 0.0 Ast",
2,SO,G,6-0,190,"Worcester, MA",Putnam Science Academy,,"1.7 Pts, 1.3 Reb, 0.5 Ast",
0,JR,G,6-3,185,"Willingboro, NJ",Trenton Catholic (NJ),,"0.7 Pts, 1.0 Reb, 0.7 Ast",
