Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,FR,G,6-0,172,"Memphis, TN",Sunrise Christian Academy,6 (2021),"13.9 Pts, 3.2 Reb, 4.7 Ast",
25,JR,G,6-3,188,"Montevideo, Uruguay",NBA Global Academy,,"13.3 Pts, 4.4 Reb, 3.2 Ast",
30,JR,G,6-6,207,"Charleston, SC",Porter-Gaud School,20 (2019),"10.3 Pts, 6.0 Reb, 1.7 Ast",
5,FR,G,5-9,160,"Long Island, NY",Our Saviour Lutheran School,,"8.8 Pts, 1.9 Reb, 2.7 Ast",
10,SR,F,6-9,215,"Kingsport, TN",Briarcrest Christian School,,"7.5 Pts, 4.7 Reb, 1.4 Ast",
13,JR,F,6-8,223,"Helsinki, Finland",Bishop Walsh School,,"8.6 Pts, 5.6 Reb, 1.2 Ast",
33,JR,C,7-0,262,"Ivanjica, Serbia",Hamilton Heights Christian Academy,,"4.2 Pts, 4.0 Reb, 0.5 Ast",
2,FR,F,6-10,235,"Clarksville, TN",Scotland Campus Prep HS,23 (2021),"3.9 Pts, 2.9 Reb, 0.3 Ast",
24,SO,G,6-6,205,"Prospect, KY",North Oldham HS,,"3.7 Pts, 1.5 Reb, 0.7 Ast",
12,SR,G,6-4,179,"Austin, TX",McNeil High School,,"2.6 Pts, 0.9 Reb, 0.5 Ast",
0,FR,F,6-11,230,"Durham, NC",Durham Voyager Academy (NC); Liberty Heights Athletic Institute (NC),39 (2021),"2.1 Pts, 2.2 Reb, 0.2 Ast",
15,FR,G,6-4,192,"Fontana, CA",Etiwanda HS,64 (2021),"0.7 Pts, 0.7 Reb, 0.3 Ast",
3,FR,G,6-5,206,"Montpellier, France",Monteverde Academy,,"1.7 Pts, 1.1 Reb, 0.7 Ast",
35,SR,F,6-8,222,"Knoxville, TN",Knoxville Catholic HS,,"1.4 Pts, 0.6 Reb, 0.2 Ast",
21,SO,G,6-1,164,"Greenville, NC",D.H. Conley HS,,"0.8 Pts, 0.3 Reb, 0.0 Ast",
31,JR,G,6-5,170,"Knoxville, TN",Christian Academy (TN),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
