Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
30,SR,F,6-8,240,"East Lansing, MI",East Lansing HS,67 (2018),"11.6 Pts, 5.2 Reb, 0.7 Ast",
1,JR,G,6-0,190,"Baltimore, MD",St. Frances Academy,,"12.7 Pts, 2.9 Reb, 5.8 Ast",
0,SO,F,6-7,210,"Trenton, NJ",Trenton Catholic HS,,"9.5 Pts, 5.4 Reb, 1.5 Ast",
4,SO,F,6-9,215,"Savannah, GA",Gray Collegiate (SC); Berkmar (GA); The Skill Factory (GA),,"9.7 Pts, 6.9 Reb, 1.0 Ast",
23,SO,G,6-4,190,"Flint, MI",Dream City Christian HS (Ariz.),,"9.3 Pts, 2.5 Reb, 1.5 Ast",
35,SR,G,6-6,220,"Philippi, WV",Philip Barbour HS,,"6.5 Pts, 2.3 Reb, 0.5 Ast",
24,SO,G,6-6,190,"St. Louis, MO",Vashon HS,,"5.3 Pts, 2.7 Reb, 0.8 Ast",
2,JR,G,6-5,180,"Toledo, OH",Maumee Valley (OH),77 (2020),"5.2 Pts, 1.5 Reb, 1.7 Ast",
33,JR,G,6-5,185,"Charlotte, NC",Olympic HS,,"2.8 Pts, 0.7 Reb, 0.2 Ast",
10,FR,F,6-8,200,"London, United Kingdom",City of London Academy (England); Lee Academy (ME),,"1.3 Pts, 1.1 Reb, 0.1 Ast",
11,FR,C,6-10,215,"Tobyhanna, PA",Pocono Mountain West (PA),,"0.4 Pts, 0.7 Reb, 0.0 Ast",
5,FR,G,6-7,180,"Richmond, VA",Varina (VA),,"0.3 Pts, 0.5 Reb, 0.0 Ast",
15,SR,G,5-10,175,"Mechanicsville, VA",St. Christopher's School,,"0.3 Pts, 0.0 Reb, 0.3 Ast",
