Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
22,SR,F,6-9,235,"Berlin, MD",Stephen Decatur High School,,"15.8 Pts, 6.5 Reb, 1.9 Ast",
25,SR,F,6-7,230,"Millville, NJ",St. Augustine College Preparatory School,,"10.1 Pts, 7.4 Reb, 3.4 Ast",
0,JR,G,6-3,200,"Orlando, FL",Bishop Moore HS,,"10.0 Pts, 4.0 Reb, 2.0 Ast",
4,JR,G,6-4,195,"Buford, GA",Mountain View HS,,"9.6 Pts, 2.8 Reb, 1.5 Ast",
5,SR,G,6-0,180,"Middleton, WI",Middleton High School,,"8.0 Pts, 1.9 Reb, 2.9 Ast",
13,SO,G,6-5,185,"Bowie, MD",Oak Hill Academy,,"6.4 Pts, 1.9 Reb, 0.5 Ast",
3,FR,G,6-1,190,"Edmond, OK",Edmond Memorial HS,,"5.4 Pts, 1.2 Reb, 1.3 Ast",
1,SO,F,6-9,205,"De Lier, Netherlands",Mt. Zion Prep,,"3.7 Pts, 2.7 Reb, 0.7 Ast",
21,JR,F,6-10,245,"Lagos, Nigeria",Admiral Farragut HS,,"2.4 Pts, 1.9 Reb, 0.1 Ast",
11,FR,F,6-8,250,"Ft. Lauderdale, FL",Montverde Academy,,"0.8 Pts, 0.6 Reb, 0.0 Ast",
15,SO,C,6-10,235,"Gainesville, FL",IMG Academy,,"0.7 Pts, 1.1 Reb, 0.0 Ast",
10,FR,G,6-1,175,"Waxhaw, NC",Metrolina Christian Academy,,"0.3 Pts, 0.2 Reb, 0.1 Ast",
14,FR,G,5-10,170,"Louisville, KY",,,"0.3 Pts, 0.0 Reb, 0.1 Ast",
