Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,G,6-4,185,"Rochester, NY","University Prep (Rochester, NY)",,"14.9 Pts, 5.7 Reb, 3.5 Ast",
,JR,G,6-4,195,"Brooklyn, NY",Brooklyn Collegiate (NY),,"10.5 Pts, 5.1 Reb, 0.9 Ast",
,SO,G,6-9,255,"Chesterfield, VA",Lloyd C. Bird (VA),,"10.0 Pts, 2.9 Reb, 1.8 Ast",
1,JR,G,6-1,175,"San Juan, PR",IMG Academy,,"7.0 Pts, 3.9 Reb, 4.4 Ast",
32,SO,F,6-1,190,"Middletown, NY",Bergen Catholic (NJ),,"6.9 Pts, 5.4 Reb, 0.4 Ast",
4,JR,F,6-7,190,"Dunellen, NJ",Dunellen (NJ); Covenant College Prep (NJ),,"5.9 Pts, 4.0 Reb, 0.5 Ast",
15,FR,F,6-7,195,"Bronx, NY",The Patrick School (NJ),,"3.5 Pts, 3.3 Reb, 0.5 Ast",
12,JR,G,6-4,180,"Brooklyn, NY",Eagle Academy HS (NY),,"9.3 Pts, 2.1 Reb, 1.2 Ast",
2,SO,G,6-4,200,"Paterson, NJ",Immaculate Conception HS,,"4.1 Pts, 1.9 Reb, 1.1 Ast",
24,JR,F,6-7,205,"Brooklyn, NY",St. Marks HS,,"5.1 Pts, 3.8 Reb, 0.3 Ast",
0,SR,G,6-3,205,"Philadelphia, PA",RISE Prep (Ont.),,"8.7 Pts, 3.0 Reb, 2.0 Ast",
3,SO,G,6-2,200,"Virginia Beach, VA",Atlantic Shores Christian (VA),,"1.0 Pts, 0.0 Reb, 0.0 Ast",
