Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,JR,G,6-2,160,"Milwaukee, WI",Milwaukee Academy of Science (WI),,"15.1 Pts, 3.4 Reb, 2.4 Ast",
,SR,G,6-5,195,"Valparaiso, IN",Valparaiso (IN),,"10.1 Pts, 5.3 Reb, 1.6 Ast",
0,SR,C,6-10,241,"Ypsilanti, MI",Legacy Charter School,,"9.9 Pts, 4.8 Reb, 0.8 Ast",
24,SR,F,6-7,215,"Nashville, TN",Pearl Cohn (TN),,"8.8 Pts, 4.5 Reb, 2.2 Ast",
,SR,G,6-6,198,"Falmouth, KY",Pendleton County HS,92 (2019),"8.2 Pts, 3.0 Reb, 0.6 Ast",
5,JR,F,6-8,175,"Saly, Senegal",NBA Academy Africa,,"7.5 Pts, 5.6 Reb, 0.8 Ast",
4,SR,G,6-2,185,"Evansville, IN",Reitz HS,81 (2020),"9.0 Pts, 2.7 Reb, 2.0 Ast",
23,JR,G,6-6,205,"Gatineau, Canada",Orangeville Prep (ON),,"6.2 Pts, 4.6 Reb, 1.2 Ast",
30,FR,G,6-5,210,"Dry Ridge, KY",Owen County (KY),,"6.2 Pts, 2.3 Reb, 0.6 Ast",
3,SR,G,5-11,177,"San Antonio, TX",Wagner HS,,"4.3 Pts, 1.9 Reb, 2.5 Ast",
15,FR,G,5-10,170,"Louisville, KY",Louisville Male (KY),,"1.0 Pts, 0.6 Reb, 1.2 Ast",
22,JR,F,6-4,210,"Berea, KY",Berea (KY),,"1.3 Pts, 0.6 Reb, 0.1 Ast",
13,SR,F,6-9,230,"Knoxville, TN",Grace Christian Academy,,"0.7 Pts, 1.0 Reb, 0.1 Ast",
7,SR,F,6-11,205,"Dakar, Senegal",Tri-City Christian (AZ); AZ Compass Prep (AZ),,"1.2 Pts, 0.0 Reb, 0.0 Ast",
31,JR,G,5-11,210,"Scottsdale, AZ",Hillcrest Prep,,"0.8 Pts, 0.1 Reb, 0.0 Ast",
