Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,SR,G,6-0,185,"Brockton, MA",Rivers School,,"19.2 Pts, 4.1 Reb, 1.6 Ast",
00,SR,G,6-5,190,"Harrisburg, PA",Glenelg Country School,,"11.3 Pts, 3.6 Reb, 1.5 Ast",
22,SO,F,6-5,195,"Ellington, CT",East Catholic HS,,"7.2 Pts, 4.0 Reb, 1.3 Ast",
10,JR,G,6-5,200,"Voorhees, NJ",Eastern Regional HS,,"7.1 Pts, 3.6 Reb, 1.0 Ast",
35,JR,F,6-7,215,"Augusta, GA",Pace Academy,,"6.1 Pts, 4.2 Reb, 1.5 Ast",
15,JR,F,6-8,220,"Washington, DC",Maret School,,"6.6 Pts, 4.5 Reb, 1.0 Ast",
2,FR,G,6-4,195,"Potomac, MD",Our Lady of Good Counsel HS,,"4.8 Pts, 3.1 Reb, 1.9 Ast",
3,SO,G,6-4,190,"Saratoga Springs, NY",Albany Academy,,"4.0 Pts, 2.6 Reb, 0.9 Ast",
1,SR,G,6-2,195,"MontrÃ©al, Canada",Kimball Union Academy,,"4.3 Pts, 1.4 Reb, 1.3 Ast",
23,FR,F,6-8,200,"Bolgatanga, Ghana",Saint Andrews School HS,,"2.0 Pts, 2.2 Reb, 0.6 Ast",
13,JR,G,6-4,195,"Hidden Hills, CA",Sierra Canyon HS,,"1.7 Pts, 1.5 Reb, 0.5 Ast",
4,FR,G,6-5,190,"Naperville, IL",Neuqua Valley HS,,"1.9 Pts, 0.5 Reb, 0.1 Ast",
20,FR,F,6-8,225,"Greenwich, CT",Hotchkiss School,,"2.6 Pts, 1.5 Reb, 0.1 Ast",
21,FR,F,6-8,225,"Montclair, NJ",Blair Academy,,"1.1 Pts, 0.4 Reb, 0.1 Ast",
30,SR,F,6-10,230,"Charleston, SC",Porter-Gaud HS,,"1.6 Pts, 0.4 Reb, 0.0 Ast",
24,FR,G,6-3,185,"San Diego, CA",Foothills Christian HS,,"0.7 Pts, 1.0 Reb, 0.4 Ast",
11,FR,G,6-5,210,"Ankara, TÃ¼rkiye",Ted Ankara College Foundation HS,,"0.8 Pts, 0.7 Reb, 0.2 Ast",
12,FR,G,6-2,190,"Bethesda, MD","Maret School, Phillips Exeter HS",,"0.7 Pts, 0.3 Reb, 0.0 Ast",
14,SR,F,6-7,210,"Chicago, IL",University of Chicago Laboratory Schools,,"0.5 Pts, 0.5 Reb, 0.5 Ast",
