Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
11,JR,F,6-8,210,"Southborough, MA",Algonquin Regional (MA); New Hampton (NH); IMG Academy (FL),,"15.9 Pts, 4.1 Reb, 3.3 Ast",
1,SO,G,6-3,185,"Leesburg, VA",St. James School (MD); Brewster Academy (NH),43 (2023),"12.9 Pts, 2.1 Reb, 2.0 Ast",
30,FR,F,6-7,210,"Richardson, TX",Pearce (TX); John Paul II (TX); Montverde Academy (FL),10 (2024),"12.0 Pts, 5.3 Reb, 2.0 Ast",
5,JR,F,6-10,260,"St. Louis, MO",Chaminade Prep (MO); Link Year Prep (MO),31 (2022),"11.3 Pts, 8.6 Reb, 1.1 Ast",
10,SR,G,6-2,197,"Queens, NY",Putnam Science Academy,64 (2020),"8.4 Pts, 3.0 Reb, 4.7 Ast",
35,SR,F,6-10,205,"Lomé, Togo",The Patrick School,47 (2021),"6.4 Pts, 2.4 Reb, 1.4 Ast",
23,SO,F,6-7,195,"Bristow, VA",St. James School (MD); Long Island Lutheran (NY),72 (2023),"5.5 Pts, 2.2 Reb, 1.5 Ast",
3,SO,F,6-7,205,"Seattle, WA",Garfield (WA),65 (2023),"4.7 Pts, 2.7 Reb, 1.4 Ast",
20,JR,G,6-3,180,"Lafayette, CA",Campolindo (CA),,"4.1 Pts, 1.0 Reb, 1.9 Ast",
0,FR,G,6-0,195,"Philadelphia, PA",Imhotep (PA),35 (2024),"3.0 Pts, 1.7 Reb, 1.5 Ast",
4,FR,F,6-7,205,"Gainesville, VA",Highland School (VA); St. Paul VI (VA),63 (2024),"1.6 Pts, 0.6 Reb, 0.0 Ast",
24,SO,C,6-10,220,"Bamako, Mali",Our Saviour Lutheran (NY),,"0.3 Pts, 0.7 Reb, 0.2 Ast",
