Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,SO,F,6-8,206,"Kendallville, IN",East Noble HS,,"13.9 Pts, 2.9 Reb, 2.5 Ast",
13,JR,G,6-1,195,"Chicago, IL",Whitney Young HS,,"13.6 Pts, 3.6 Reb, 2.3 Ast",
25,SO,F,6-7,205,"Cleveland, OH",St Martin De Porres HS,,"13.2 Pts, 10.8 Reb, 1.4 Ast",
4,JR,G,6-2,216,"Kansas City, MO",Sunrise Christian Academy,,"10.4 Pts, 2.1 Reb, 0.7 Ast",
2,SO,G,6-1,192,"Cincinnati, OH",Huntington Prep,,"7.2 Pts, 2.8 Reb, 2.2 Ast",
22,SO,G,6-5,220,"Huntington, WV",Huntington Prep HS,,"5.9 Pts, 3.4 Reb, 0.8 Ast",
11,SO,G,6-0,180,"Euclid, OH",Cleveland Heights HS,,"3.3 Pts, 2.5 Reb, 1.1 Ast",
21,SO,C,7-0,225,"Joal-Fadiouth, Senegal",NBA Academy Africa,,"3.2 Pts, 3.3 Reb, 0.3 Ast",
0,JR,G,6-6,210,"Albany, NY",Liberty Heights (NC),,"2.4 Pts, 1.7 Reb, 0.5 Ast",
1,SR,G,6-3,200,"Indianapolis, IN",Brownsburg HS,,"7.3 Pts, 3.2 Reb, 1.3 Ast",
23,FR,F,6-10,224,"Louisville, KY",DeSales HS,,"2.0 Pts, 1.0 Reb, 0.2 Ast",
14,,F,6-2,210,"Ashtabula, OH",,,"2.0 Pts, 0.0 Reb, 0.0 Ast",
20,FR,G,6-2,200,"Noblesville, IN",Noblesville HS,,"0.3 Pts, 0.0 Reb, 0.3 Ast",
