Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,FR,F,6-9,200,"Antioch, TN",Cane Ridge (TN),11 (2022),"18.8 Pts, 8.2 Reb, 2.1 Ast",
1,JR,G,6-1,185,"Muscle Shoals, AL",Hargrave Military Academy,,"12.5 Pts, 3.5 Reb, 2.6 Ast",
15,FR,F,6-10,210,"Roebuck, SC",Dorman (SC),71 (2022),"9.8 Pts, 7.9 Reb, 0.8 Ast",
5,SR,G,6-1,175,"Hackensack, NJ",Hudson Catholic HS,29 (2018),"8.7 Pts, 1.9 Reb, 3.6 Ast",
14,SO,C,7-0,225,"Brampton, Canada",IMG Academy,30 (2021),"6.4 Pts, 6.0 Reb, 0.6 Ast",
0,FR,G,6-3,185,"Rochester, NY",Cannon School (NC); IMG Academy (FL),24 (2022),"6.4 Pts, 2.6 Reb, 3.1 Ast",
3,FR,G,6-5,180,"Dallas, TX",Richardson (TX),40 (2022),"5.9 Pts, 2.6 Reb, 0.7 Ast",
4,SR,F,6-8,210,"Fayetteville, GA",Fayette County HS,,"4.9 Pts, 3.1 Reb, 0.6 Ast",
25,SO,G,6-4,195,"Chicago, IL",Prolific Prep,27 (2020),"5.6 Pts, 2.0 Reb, 0.7 Ast",
23,JR,F,6-9,220,"Seabrook, SC",Whale Branch (SC),,"3.5 Pts, 3.1 Reb, 0.2 Ast",
10,SR,G,6-5,200,"Buffalo, NY",Spire Academy,,"2.0 Pts, 1.7 Reb, 0.3 Ast",
12,JR,G,6-3,198,"Atlanta, GA",Oak Hill Academy,,"1.2 Pts, 0.3 Reb, 0.0 Ast",
2,JR,F,6-6,185,"Washington, DC",Theodore Roosevelt HS,,"1.5 Pts, 1.5 Reb, 0.5 Ast",
30,SR,G,6-3,200,"Flowery Branch, GA",Lakeview Academy,,"0.6 Pts, 0.1 Reb, 0.0 Ast",
34,JR,G,6-0,155,"Hackensack, NJ",Ramsey HS,,"0.3 Pts, 0.3 Reb, 0.3 Ast",
31,JR,F,6-6,205,"Elgin, IL",Wheaton Academy (IL),,"0.0 Pts, 0.7 Reb, 0.0 Ast",
