Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
4,SR,G,6-4,180,"Nashville, TN",Hun School of Princeton,,"13.6 Pts, 3.5 Reb, 2.3 Ast",
0,JR,G,6-1,175,"Raleigh, NC","Trinity Christian (Fayetteville, NC)",,"12.5 Pts, 3.4 Reb, 2.4 Ast",
35,SR,G,6-6,215,"Nashville, TN",Hillcrest Prep,,"9.8 Pts, 5.4 Reb, 0.8 Ast",
10,SO,G,6-1,185,"Henderson, NV",Coronado HS,41 (2021),"9.7 Pts, 4.1 Reb, 4.3 Ast",
22,SR,F,7-0,215,"San Marcos, CA",Mission Hills HS,,"9.2 Pts, 6.9 Reb, 1.6 Ast",
5,SO,F,6-6,185,"Toledo, OH",Pheonix Hillcrest Prep,,"4.9 Pts, 2.8 Reb, 1.5 Ast",
1,SR,G,6-3,185,"Jersey City, NJ",Hudson Catholic HS,68 (2018),"3.7 Pts, 1.0 Reb, 0.4 Ast",
2,FR,G,6-2,170,"Garden Ridge, TX",Wagner (TX),79 (2022),"4.5 Pts, 1.1 Reb, 0.9 Ast",
32,SR,F,6-9,198,"Cleveland, OH",Brewster Academy,47 (2019),"3.2 Pts, 2.9 Reb, 0.6 Ast",
24,FR,F,6-10,235,"Gilbert, AZ",Perry (AZ); Hillcrest Prep (AZ),,"2.4 Pts, 2.3 Reb, 0.1 Ast",
23,SO,F,6-8,215,"Sacramento, CA",Sheldon HS,31 (2020),"12.5 Pts, 4.0 Reb, 1.5 Ast",
14,SO,C,6-10,240,"Mississauga, Canada",George Harris Prep,58 (2021),"0.7 Pts, 0.7 Reb, 0.1 Ast",
11,SO,G,6-0,160,"Scottsdale, AZ",Notre Dame Prep,,"0.5 Pts, 0.3 Reb, 0.0 Ast",
12,SR,G,6-0,180,"Scottsdale, AZ",Chaparral (AZ),,"0.1 Pts, 0.3 Reb, 0.1 Ast",
15,SR,F,6-10,235,"Morenci, AZ",Morenci (AZ),,"0.1 Pts, 0.3 Reb, 0.0 Ast",
20,JR,G,6-2,180,"Oakland, CA",Bishop O'Dowd HS,,"0.5 Pts, 0.0 Reb, 0.0 Ast",
43,JR,G,6-1,178,"Oakland, CA",Bishop O'Dowd HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
25,SO,G,5-10,195,"Los Angeles, CA",Arizona Compass HS,,"0.0 Pts, 0.0 Reb, 0.5 Ast",
