Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,JR,F,6-11,245,"Vilnius, Lithuania",Rytas Vilnius (Lithuania),,"19.8 Pts, 9.1 Reb, 2.0 Ast",
11,JR,C,7-0,260,"Koulikoro, Mali",Canterbury Academy (Spain),95 (2019),"14.2 Pts, 8.6 Reb, 1.6 Ast",
3,JR,G,6-5,208,"Nacka, Sweden",Lulea (Sweden),,"9.9 Pts, 4.3 Reb, 3.1 Ast",
25,JR,G,6-3,180,"Tartu, Estonia",Å½algiris-2 Kaunas (Lithuania),96 (2020),"9.9 Pts, 2.4 Reb, 5.1 Ast",
0,SR,G,6-3,185,"St. Louis, MO",Webster Groves HS,41 (2018),"10.5 Pts, 3.9 Reb, 3.6 Ast",
45,SR,G,6-6,190,"Memphis, TN",Briarcrest Christian (TN),,"8.1 Pts, 3.5 Reb, 1.1 Ast",
4,FR,G,6-2,195,"Champaign, IL",Centennial (CA); AZ Compass Prep (AZ),,"4.6 Pts, 1.6 Reb, 1.6 Ast",
13,FR,F,7-0,200,"Tallinn, Estonia",Real Madrid (Spain),93 (2022),"2.4 Pts, 1.5 Reb, 0.5 Ast",
2,SO,G,6-6,190,"Paris, France",Centre FÃ©dÃ©ral de Basket-ball (France),,"2.5 Pts, 1.0 Reb, 0.5 Ast",
44,FR,F,7-0,240,"Gilbert, AZ",Perry (AZ),99 (2022),"1.4 Pts, 0.6 Reb, 0.1 Ast",
1,FR,F,6-9,185,"Belgrade, Serbia",KK Beko (Serbia),,"1.3 Pts, 0.9 Reb, 0.4 Ast",
23,SR,G,6-3,185,"Portland, OR",Jesuit HS,,"1.4 Pts, 0.5 Reb, 0.0 Ast",
22,SR,F,6-6,200,"Scottsdale, AZ",Pinnacle HS,,"0.8 Pts, 0.8 Reb, 0.1 Ast",
42,SO,F,6-4,193,"Salt Lake City, UT",Brighton HS,,"2.0 Pts, 0.0 Reb, 1.0 Ast",
33,SO,F,6-10,245,"Tucson, AZ",Catalina Foothills HS,,"1.3 Pts, 0.7 Reb, 0.0 Ast",
15,JR,G,6-4,205,"Tucson, AZ",Salpointe Catholic HS,,"0.3 Pts, 0.3 Reb, 0.0 Ast",
21,SO,G,6-1,170,"Seattle, WA",Eastside Prep HS,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
20,JR,F,6-7,225,"Vilnius, Lithuania",Rytas Vilnius (Lithuania),,"0.0 Pts, 0.2 Reb, 0.0 Ast",
