Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,G,6-1,195,"Covington, GA",Newton County High School,,"18.3 Pts, 4.6 Reb, 3.7 Ast",
0,SR,G,6-6,210,"San Antonio, TX",Warren High School,,"11.9 Pts, 4.6 Reb, 1.1 Ast",
10,SO,F,6-10,245,"Fort Smith, AR",Fort Smith Northside HS,,"10.9 Pts, 9.8 Reb, 2.6 Ast",
5,SR,G,6-6,210,"Huntsville, AL",Trinity Christian Academy,,"10.5 Pts, 5.2 Reb, 0.8 Ast",
4,SO,G,6-3,180,"Jacksonville, AR",Jacksonville HS,,"8.3 Pts, 3.7 Reb, 2.8 Ast",
11,SR,G,5-7,160,"Mitchellville, MD",Gonzaga College High School,65 (2017),"7.6 Pts, 1.0 Reb, 1.5 Ast",
3,SR,F,6-6,221,"Marietta, GA",South Cobb High School,,"3.6 Pts, 2.6 Reb, 0.6 Ast",
20,JR,F,6-7,215,"Brooklyn, NY",Holy Spirit Prep,,"2.3 Pts, 2.7 Reb, 0.3 Ast",
23,JR,F,7-3,247,"Little Rock, AR",Findlay Prep,,"3.9 Pts, 2.1 Reb, 0.3 Ast",
14,SO,G,6-7,193,"Ada, OK",Ada HS,82 (2020),"3.4 Pts, 1.3 Reb, 0.4 Ast",
2,SO,G,6-0,175,"Little Rock, AR",Oak Hill Academy (Va.),62 (2020),"1.5 Pts, 0.4 Reb, 0.7 Ast",
13,FR,G,6-5,195,"Brookhaven, GA",McEachern HS,88 (2021),"1.0 Pts, 0.6 Reb, 0.0 Ast",
21,,G,6-3,170,"Concord, CA",De La Salle (CA),,"0.0 Pts, 0.8 Reb, 0.3 Ast",
45,,F,6-10,225,"Fayetteville, AR",Link Year Prep,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
