Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
11,JR,G,6-1,185,"Oakland, CA",Salesian College Preparatory,89 (2018),"13.5 Pts, 2.8 Reb, 5.8 Ast",
10,JR,G,6-3,180,"Duluth, GA",Duluth HS,,"13.8 Pts, 2.2 Reb, 3.0 Ast",
2,FR,G,6-8,205,"Cottage Grove, MN",Sunrise Christian Academy,10 (2021),"9.7 Pts, 4.9 Reb, 1.9 Ast",
24,SR,G,6-9,225,"Austin, TX",Westlake HS,86 (2018),"9.8 Pts, 5.0 Reb, 1.0 Ast",
1,FR,F,6-9,230,"Milton Keynes, United Kingdom",Orange Academy,90 (2021),"9.2 Pts, 6.4 Reb, 1.8 Ast",
4,SO,G,6-1,185,"Katy, TX",Morton Ranch HS,83 (2020),"13.5 Pts, 1.5 Reb, 1.7 Ast",
0,SR,F,6-10,245,"Kinshasa, Democratic Republic of the Congo",Mountain Mission School,,"6.2 Pts, 5.6 Reb, 0.3 Ast",
23,JR,F,6-8,245,"Douala, Cameroon",NBA Global Academy - Australia,,"8.4 Pts, 6.8 Reb, 0.7 Ast",
3,SO,G,6-2,170,"Shaker Heights, OH",Shaker Heights (OH),,"3.1 Pts, 1.2 Reb, 1.5 Ast",
5,SO,G,6-8,195,"Houston, TX",Sunrise Christian (KS),,"2.0 Pts, 1.5 Reb, 0.4 Ast",
32,SO,F,7-0,215,"Gallipolis, OH",Huntington (W. Va.) Prep,,"1.0 Pts, 1.1 Reb, 0.1 Ast",
14,SR,G,6-0,175,"Leawood, KS",Kansas City Christian School,,"1.1 Pts, 0.6 Reb, 0.0 Ast",
42,FR,F,6-9,270,"Brooklyn Park, MN",Park Center HS,70 (2020),"2.0 Pts, 1.0 Reb, 0.0 Ast",
21,,G,6-1,180,"Cibolo, TX",Steele High School,,"0.5 Pts, 0.3 Reb, 0.2 Ast",
20,SO,F,6-6,195,"Encino, CA",Oakwood Secondary School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
