Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,G,6-7,193,"Ada, OK",Ada HS,82 (2020),"14.2 Pts, 2.5 Reb, 1.3 Ast",
20,SR,G,6-5,175,"American Fork, UT",American Fork HS,,"10.3 Pts, 6.3 Reb, 3.3 Ast",
21,SR,G,6-5,190,"Woods Cross, UT",Woods Cross HS,,"10.6 Pts, 3.4 Reb, 1.3 Ast",
15,SO,G,6-5,200,"Riverton, UT",Riverton (UT); Wasatch Academy (UT),,"9.6 Pts, 4.1 Reb, 1.1 Ast",
,SR,F,6-11,210,"Savannah, NY",Finger Lakes Christian (NY),,"9.5 Pts, 5.4 Reb, 0.7 Ast",
30,SO,G,6-4,200,"Plain City, UT",Fremont (UT),,"9.0 Pts, 3.5 Reb, 5.1 Ast",
45,JR,F,6-6,254,"Bamako, Mali",Wasatch Academy,,"10.9 Pts, 5.2 Reb, 1.3 Ast",
,JR,F,6-10,255,"Alexandria, Egypt",NBA Global Academy,,"5.7 Pts, 3.7 Reb, 4.0 Ast",
,JR,F,6-9,213,"Mwanza, Tanzania",London Basketball Academy,,"4.0 Pts, 2.9 Reb, 0.3 Ast",
1,JR,G,6-2,189,"American Fork, UT",American Fork HS,,"2.2 Pts, 1.8 Reb, 1.1 Ast",
12,FR,F,6-8,212,"Meridian, ID",Rocky Mountain (ID),,"1.6 Pts, 1.0 Reb, 0.1 Ast",
25,JR,G,6-3,180,"Coto de Caza, CA",Capistrano Valley HS,,"5.0 Pts, 0.8 Reb, 1.5 Ast",
51,SO,G,6-3,180,"Saratoga Springs, UT",Westlake (UT),,"0.5 Pts, 0.3 Reb, 0.1 Ast",
,FR,F,6-8,220,"Torrance, CA",Nathaniel Narbonne (CA),57 (2023),"2.0 Pts, 2.0 Reb, 1.0 Ast",
24,SO,G,6-6,210,"Eagle, ID",Eagle (ID),,"0.2 Pts, 0.4 Reb, 0.2 Ast",
