Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
13,SO,G,6-4,180,"Ans, Belgium",Sainte Marie Namur (Belgium),,"16.3 Pts, 2.7 Reb, 5.1 Ast",
5,SR,F,6-10,220,"San Diego, CA",Brewster Academy,66 (2018),"14.1 Pts, 6.1 Reb, 1.2 Ast",
2,SR,F,6-8,255,"Stockton, CA",Lincoln HS,,"9.3 Pts, 6.5 Reb, 0.9 Ast",
1,SR,G,6-4,185,"Plainfield, NJ",Roselle Catholic HS,,"9.5 Pts, 3.9 Reb, 2.4 Ast",
4,SO,G,6-4,185,"Fresno, CA",Clovis West HS,,"7.3 Pts, 1.4 Reb, 0.6 Ast",
10,SR,G,6-1,180,"Delano, MN",Delano HS,,"7.2 Pts, 3.0 Reb, 2.9 Ast",
3,SR,G,6-3,170,"Houston, TX",Clear Lake HS,,"6.2 Pts, 1.9 Reb, 0.9 Ast",
00,FR,F,6-9,215,"Bentiu, South Sudan",Crean Lutheran (CA),,"1.9 Pts, 3.9 Reb, 0.3 Ast",
32,FR,G,6-7,205,"Belgrade, Serbia",Mladost Zemum (Serbia),,"1.5 Pts, 0.8 Reb, 0.3 Ast",
14,JR,F,6-10,230,"Split, Croatia",La Lumiere HS,,"2.2 Pts, 1.9 Reb, 0.2 Ast",
12,JR,F,6-8,250,"Nairobi, Kenya",Renaissance Academy (PA),,"1.5 Pts, 0.9 Reb, 0.2 Ast",
11,JR,G,6-5,195,"Topeka, KS",Hayden HS,,"2.2 Pts, 0.6 Reb, 0.0 Ast",
40,SO,F,6-10,235,"Seattle, WA",Mercer Island HS,,"1.0 Pts, 0.3 Reb, 0.0 Ast",
50,JR,G,6-3,190,"Arroyo Grande, CA",Arroyo Grande HS,,"0.2 Pts, 0.2 Reb, 0.2 Ast",
23,SO,F,6-7,215,"Eden Prairie, MN",Golden State Prep,,"0.0 Pts, 1.5 Reb, 0.0 Ast",
51,FR,G,6-5,180,"Oceanside, CA",El Camino HS,,"0.0 Pts, 0.5 Reb, 0.0 Ast",
53,SO,G,5-11,180,"Santa Barbara, CA",San Marcos HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
