Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
13,JR,G,6-4,205,"Belleville, IL",West HS,,"19.9 Pts, 6.7 Reb, 3.0 Ast",
3,SR,G,6-1,193,"Miami, FL",Miami Norland High School,,"14.3 Pts, 2.5 Reb, 2.2 Ast",
22,SR,F,6-9,245,"Luanda, Angola",IMG Academy,,"11.0 Pts, 6.9 Reb, 0.9 Ast",
5,SR,G,6-6,218,"Saint Petersburg, FL",St. Petersburg High School,,"8.3 Pts, 4.9 Reb, 2.6 Ast",
0,SR,G,6-5,200,"Sarasota, FL",Riverview (FL),,"4.9 Pts, 3.1 Reb, 2.2 Ast",
35,SO,G,6-5,208,"Knoxville, TN",Grace Christian School,,"4.9 Pts, 2.0 Reb, 0.5 Ast",
23,SR,C,6-11,250,"Brandon, FL",Spoto High School,,"4.6 Pts, 2.3 Reb, 0.4 Ast",
21,SR,F,6-7,209,"Zaria, Nigeria",Progressive Christian Academy,,"4.2 Pts, 2.5 Reb, 0.3 Ast",
1,JR,F,6-7,217,"Charlotte, NC",United Faith Christian Academy,,"4.5 Pts, 2.9 Reb, 0.7 Ast",
2,SO,G,6-5,185,"Chattanooga, TN",East Hamilton Middle HS,,"4.4 Pts, 1.7 Reb, 0.4 Ast",
4,SO,G,6-0,180,"Corinth, MS",Corinth HS,,"0.4 Pts, 1.0 Reb, 0.4 Ast",
25,SO,F,6-9,215,"Pulaski, VA",Blue Ridge School,,"0.6 Pts, 0.4 Reb, 0.1 Ast",
11,SO,G,5-8,163,"Memphis, TN",Southwind HS,,"0.6 Pts, 0.6 Reb, 0.7 Ast",
