Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,SR,F,6-10,235,"Spartanburg, SC",Dorman HS,51 (2020),"18.3 Pts, 6.4 Reb, 1.4 Ast",
11,SR,G,6-1,195,"Glens Falls, NY",Glens Falls (NY),,"15.1 Pts, 3.2 Reb, 2.9 Ast",
1,SR,G,6-3,204,"Atlanta, GA",Westlake HS,,"12.9 Pts, 2.6 Reb, 3.2 Ast",
4,JR,F,6-8,225,"Loganville, GA",Grayson HS,,"10.1 Pts, 9.4 Reb, 2.2 Ast",
,SO,F,6-7,225,"Suwanee, GA",North Gwinnett (GA),,"6.1 Pts, 3.4 Reb, 0.8 Ast",
7,SO,F,6-10,205,"Grayson, GA",Grayson (GA),,"5.4 Pts, 2.1 Reb, 0.9 Ast",
,SR,G,6-8,182,"Cheltenham, PA",Cheltenham HS,,"4.7 Pts, 4.9 Reb, 1.4 Ast",
,SO,G,6-3,170,"Columbia, SC",Cardinal Newman HS,,"3.0 Pts, 0.9 Reb, 0.8 Ast",
2,SO,G,6-3.5,193,"Atlanta, GA",Westlake (GA); Ypsi Prep (MI); Sunrise Christian (KS),100 (2022),"2.3 Pts, 1.6 Reb, 1.3 Ast",
,SR,G,6-3,185,"Newburgh, IN",Castle HS,,"5.2 Pts, 0.6 Reb, 1.4 Ast",
33,SR,F,6-10,220,"Bergen op Zoom, Netherlands",New Hampton (NH),,"0.8 Pts, 0.8 Reb, 0.3 Ast",
13,SR,G,6-4,184,"Clemson, SC",Daniel (SC),,"0.4 Pts, 0.8 Reb, 0.0 Ast",
20,JR,G,6-1,172,"Charleston, SC",Porter-Gaud (SC),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
32,JR,F,6-7,215,"Dayton, OH",Chaminade Julienne Catholic HS,,"0.0 Pts, 0.6 Reb, 0.0 Ast",
