Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-0,180,"Midland, PA",Lincoln Park Performing Arts Charter School,,"14.7 Pts, 3.0 Reb, 3.4 Ast",
15,SR,G,6-5,205,"Flemington, NJ",Hunterdon Central HS,,"12.7 Pts, 5.7 Reb, 3.8 Ast",
13,SR,G,6-3,180,"Fort Wayne, IN",Homestead High School,,"12.4 Pts, 4.4 Reb, 2.0 Ast",
14,JR,F,6-10,245,"South Kingstown, RI",St. Andrew's (RI),,"9.9 Pts, 6.2 Reb, 1.4 Ast",
4,JR,G,6-6,220,"Lancaster, PA",Hempfield HS,,"9.8 Pts, 4.8 Reb, 2.3 Ast",
55,SO,C,6-11,265,"Audubon, PA",Methacton Senior HS,,"6.4 Pts, 4.1 Reb, 1.8 Ast",
33,SR,G,6-2,190,"Chapel Hill, NC",Oak Hill Academy,,"6.8 Pts, 3.1 Reb, 1.8 Ast",
30,SO,F,6-9,220,"Otterville, Canada",Brooks School,,"2.7 Pts, 2.0 Reb, 0.6 Ast",
5,,G,6-4,195,"Miami, FL",South Miami Senior HS,,"2.2 Pts, 0.8 Reb, 0.3 Ast",
34,SO,G,6-4,195,"Malvern, PA",Episcopal Academy,,"9.0 Pts, 0.0 Reb, 0.0 Ast",
3,,G,6-1,185,"Los Angeles, CA",Phillips Exeter Academy,,"1.6 Pts, 0.2 Reb, 0.8 Ast",
22,,F,6-10,210,"Stratford, Canada",Ridley College (ON),,"3.5 Pts, 1.5 Reb, 0.5 Ast",
35,SR,F,6-8,225,"Menlo Park, CA",Menlo-Atherton HS,,"0.6 Pts, 0.2 Reb, 0.1 Ast",
2,SR,G,6-3,195,"New York, NY",Riverdale Country School,,"0.4 Pts, 0.4 Reb, 0.3 Ast",
