Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,SR,G,6-4,205,"Gnadenhutten, OH",Indian Valley HS,,"12.2 Pts, 4.2 Reb, 1.3 Ast",
10,SO,F,6-10,229,"Zagreb, Croatia",Zdravstveno uciliste Zagreb (Croatia),,"11.6 Pts, 5.9 Reb, 0.9 Ast",
2,SO,G,6-2,180,"Ulverstone, Australia",Centre of Excellence (Australia),,"10.8 Pts, 2.0 Reb, 1.3 Ast",
11,SR,G,6-1,175,"St Paul, MN",Cretin-Durham Hall HS,,"10.6 Pts, 3.3 Reb, 4.0 Ast",
15,SR,G,6-3,195,"Chesterfield, NJ",Conwell-Egan (PA),,"10.3 Pts, 3.1 Reb, 1.0 Ast",
25,SO,F,6-7,200,"Fort Mill, SC",Carmel Christian School,,"8.8 Pts, 3.7 Reb, 0.5 Ast",
5,SO,F,6-6,200,"Santee, SC",Vermont Academy,,"5.4 Pts, 3.3 Reb, 1.1 Ast",
35,SO,F,6-8,175,"Saly, Senegal",NBA Academy Africa,,"4.7 Pts, 4.6 Reb, 0.6 Ast",
21,SR,G,6-5,195,"Allen, TX",Allen (TX),,"4.3 Pts, 5.3 Reb, 2.7 Ast",
42,SR,F,6-11,230,"Roanoke, TX",Byron Nelson HS,,"0.8 Pts, 2.0 Reb, 0.1 Ast",
50,SO,F,6-9,220,"Spartanburg, SC",Broome HS,,"1.1 Pts, 0.5 Reb, 0.0 Ast",
31,SO,G,5-11,180,"Ocean Township, NJ",Ocean Township HS,,"0.5 Pts, 0.1 Reb, 0.2 Ast",
40,FR,G,6-0,,"Miami, FL",Gulliver Prep (FL); IMG Academy (FL),,"0.6 Pts, 0.3 Reb, 0.3 Ast",
41,FR,F,6-6,195,"Washington, DC",Woodberry Forest (VA); IMG Academy (FL),,"0.5 Pts, 0.1 Reb, 0.0 Ast",
45,SO,G,6-1,185,"Zionsville, IN",Zionsville HS,,"0.3 Pts, 0.2 Reb, 0.3 Ast",
