Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,JR,G,6-2,175,"West Hills, CA",Chaminade HS,93 (2021),"19.7 Pts, 5.8 Reb, 4.9 Ast",
23,SR,F,6-8,200,"Munich, Germany",Ludwigsgymnasium Munich HS,,"16.0 Pts, 5.1 Reb, 2.4 Ast",
,SR,G,6-6,200,"St. Paul, MN",Cretin-Derham Hall HS,,"11.6 Pts, 6.0 Reb, 2.4 Ast",
,SR,C,6-11,300,"Katy, TX",Morton Ranch HS,,"10.6 Pts, 7.0 Reb, 2.2 Ast",
10,FR,F,6-8,190,"Gilbert, AZ",Perry (AZ),5 (2023),"11.9 Pts, 3.0 Reb, 1.6 Ast",
,SR,G,6-7,200,"Littleton, CO",Columbine HS,,"6.7 Pts, 3.8 Reb, 1.3 Ast",
3,JR,G,6-2,180,"Denver, CO",Cherry Creek HS,,"7.4 Pts, 2.5 Reb, 1.8 Ast",
35,FR,F,6-10,210,"Dakar, Senegal",Accelerated Schools of Denver (CO),,"1.3 Pts, 1.1 Reb, 0.3 Ast",
8,FR,F,6-9,180,"Lincoln, NE","Southeast (Lincoln, NE)",,"1.7 Pts, 1.2 Reb, 0.4 Ast",
11,SO,G,6-5,195,"New Orleans, LA",Phoenix Prep,,"2.1 Pts, 1.6 Reb, 0.7 Ast",
5,FR,G,6-4,175,"Chino, CA",Damien (CA),,"2.9 Pts, 1.1 Reb, 0.7 Ast",
31,FR,G,6-7,195,"Menlo Park, CA",Sacred Heart Prep (CA); Northfield Mount Hermon (MA),,"1.1 Pts, 0.6 Reb, 0.0 Ast",
30,FR,F,6-10,215,"Superior, CA",Monarch (CO); Sunrise Christian (KS),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
,FR,F,6-9,230,"Enderlin, ND",Enderlin (ND),,"0.0 Pts, 0.1 Reb, 0.2 Ast",
34,SO,G,5-11,170,"Dallas, TX",Highland Park (TX),,"0.0 Pts, 2.0 Reb, 1.0 Ast",
