Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
44,SR,F,6-7,222,"Atlantic, IA",,,"13.8 Pts, 7.8 Reb, 1.5 Ast",
11,SO,C,7-0,235,"St. Louis, MO",Trinity Catholic HS,,"13.1 Pts, 7.7 Reb, 0.9 Ast",
5,SR,G,6-6,180,"Roswell, GA",Milton High School,69 (2017),"11.8 Pts, 5.3 Reb, 2.1 Ast",
24,FR,F,6-7,220,"Boston, MA",Dream City Christian (AZ),42 (2021),"10.4 Pts, 5.4 Reb, 1.3 Ast",
2,FR,G,6-0,167,"Aurora, Canada",Montverde Academy (Fla.),68 (2021),"11.3 Pts, 3.1 Reb, 4.4 Ast",
23,FR,G,6-4,185,"Oklahoma City, OK",Heritage HS,70 (2021),"7.4 Pts, 3.7 Reb, 2.5 Ast",
1,SR,F,6-9,235,"New Hebron, MS",Lawrence County High School,,"3.1 Pts, 2.3 Reb, 0.5 Ast",
21,FR,G,6-4,185,"Tbilisi, GA",Sajaro Skoka HS,97 (2020),"1.8 Pts, 1.0 Reb, 1.1 Ast",
4,JR,G,6-0,170,"Omaha, NE",Sunrise Christian Academy,,"3.5 Pts, 1.7 Reb, 1.3 Ast",
15,FR,G,6-3,196,"Seattle, WA",O'Dea HS,,"0.5 Pts, 0.3 Reb, 0.0 Ast",
22,SO,G,6-0,175,"Chicago, IL",Westinghouse College Prep,,"0.2 Pts, 0.1 Reb, 0.0 Ast",
55,FR,F,6-9,195,"Kaunas, Lithuania",Varpas (Lithuania),,"0.2 Pts, 0.5 Reb, 0.1 Ast",
14,SO,G,6-4,205,"Oak Lawn, IL",Oak Lawn Community HS,,"0.0 Pts, 0.5 Reb, 0.0 Ast",
