Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,JR,G,6-7,210,"Yongin City, South Korea",Lake Ginninderra (Australia),,"15.8 Pts, 6.0 Reb, 1.9 Ast",
35,SR,F,6-10,250,"Feldkirch, Austria",SchillerstraÃe (Austria),,"14.4 Pts, 7.1 Reb, 2.5 Ast",
0,JR,G,6-0,175,"Clarkston, MI",Clarkston HS,77 (2018),"16.1 Pts, 3.2 Reb, 3.3 Ast",
13,SR,G,6-5,210,"Woodbury, MN",Woodbury HS,,"11.8 Pts, 3.6 Reb, 1.9 Ast",
3,SO,F,6-9,245,"Auckland, New Zealand",Westlake Boys HS,,"8.4 Pts, 5.3 Reb, 1.5 Ast",
5,SO,G,6-3,185,"Aurora, OH",St. Edward's HS,,"4.3 Pts, 2.3 Reb, 1.5 Ast",
4,FR,G,6-5,200,"Columbus, OH",St. Francis DeSales HS,,"2.9 Pts, 1.3 Reb, 0.6 Ast",
32,SR,F,6-8,220,"London, United Kingdom",Loomis Chaffee School,,"2.2 Pts, 2.2 Reb, 1.3 Ast",
12,JR,F,6-10,210,"Aarhus, Denmark",Marelisborg (Denmark),,"1.2 Pts, 0.6 Reb, 0.3 Ast",
2,SO,G,6-3,180,"Atlanta, GA",Woodward Academy,,"1.3 Pts, 0.8 Reb, 0.7 Ast",
34,FR,G,6-7,200,,Sudurland College (Iceland),,"1.1 Pts, 0.7 Reb, 0.3 Ast",
23,FR,F,6-5,200,"Huntersville, NC",North Mecklenburg HS,,"1.5 Pts, 1.4 Reb, 0.1 Ast",
22,SR,G,5-11,185,"Nashville, TN",University School of Nashville,,"1.1 Pts, 0.4 Reb, 0.1 Ast",
40,SR,G,6-1,190,"Montreat, NC",Christ School HS,,"0.5 Pts, 0.3 Reb, 0.0 Ast",
42,,F,6-6,190,"Washington, DC",St. Alban's HS,,"0.0 Pts, 0.3 Reb, 0.2 Ast",
