Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
15,JR,F,6-10,220,"Goodyear, AZ",AZ Compass Prep (AZ),38 (2021),"20.4 Pts, 8.5 Reb, 2.6 Ast",
2,JR,F,6-7,190,"Geneva, IL",Loomis Chaffee School,,"11.7 Pts, 6.3 Reb, 1.5 Ast",
,JR,G,6-6,174,"Washington Heights, NY",Monsignor Scanlan HS,,"11.1 Pts, 3.8 Reb, 1.2 Ast",
,JR,G,6-2,170,"Brampton, Canada",Bill Crothers Prep,,"9.4 Pts, 2.4 Reb, 3.5 Ast",
6,JR,G,6-3,190,"Providence, RI",Putnam Science Academy,,"8.1 Pts, 4.7 Reb, 2.0 Ast",
0,SO,G,5-11,155,"Orlando, FL",Trinity Prep School (FL),,"8.4 Pts, 2.1 Reb, 3.3 Ast",
13,SO,C,6-11,251,"Port Alberni, Canada",Alberni District (BC); Fort Erie International Academy (ON),,"3.1 Pts, 1.6 Reb, 0.2 Ast",
,JR,F,6-7,220,"Quincy, FL",Spire Academy,,"2.4 Pts, 1.0 Reb, 0.1 Ast",
,FR,F,6-8,215,"Kaunas, Lithuania",DME Academy (Lithuania),,"1.1 Pts, 0.7 Reb, 0.3 Ast",
21,JR,G,6-1,190,"Dayton, OH",Archbishop Alter (OH),,"1.5 Pts, 0.1 Reb, 0.3 Ast",
22,SR,F,6-6,215,"Miamisburg, OH",Bishop Fenwick (OH),,"1.0 Pts, 0.8 Reb, 0.0 Ast",
54,SO,G,6-6,190,"Westerville, OH",St. Francis DeSales (OH),,"0.4 Pts, 0.3 Reb, 0.3 Ast",
7,FR,G,6-3,180,"Dayton, OH",Chaminade Julienne (OH),,"0.0 Pts, 0.3 Reb, 0.3 Ast",
33,FR,G,6-1,190,"Dayton, OH",Chaminade Julienne (OH),,"0.0 Pts, 0.4 Reb, 0.2 Ast",
25,FR,G,6-4,200,"Oakwood, OH",Oakwood (OH),,"0.0 Pts, 0.3 Reb, 0.0 Ast",
11,JR,G,6-0,170,"Bronx, NY",St. Raymond School For Boys HS,,"0.0 Pts, 0.0 Reb, 2.0 Ast",
