Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
12,SO,G,6-7,210,"Waukee, IA",Waukee HS,,"18.6 Pts, 5.7 Reb, 1.8 Ast",
1,SR,G,6-0,185,"Calumet City, IL",Don Bosco Preparatory,,"12.6 Pts, 4.6 Reb, 5.5 Ast",
3,SR,G,6-3,175,"Newton, IA",Newton HS,,"9.3 Pts, 6.1 Reb, 1.1 Ast",
51,SR,F,6-10,275,"Newark, NJ",Montverde Academy,,"9.1 Pts, 7.3 Reb, 1.1 Ast",
0,SR,G,6-2,182,"Merrillville, IN",Merrillville HS,,"8.2 Pts, 2.0 Reb, 1.5 Ast",
14,SR,G,6-6,220,"Tappahannock, VA",Blue Ridge (VA),,"7.3 Pts, 2.2 Reb, 0.3 Ast",
4,FR,G,6-0,170,"Mundelein, IL",Mundelein HS,,"4.1 Pts, 2.2 Reb, 1.6 Ast",
24,JR,F,6-8,210,"Lemont, IL",Lemont HS,,"3.5 Pts, 2.6 Reb, 0.4 Ast",
10,JR,G,6-5,182,"Toronto, Canada",London Basketball Academy,,"3.1 Pts, 0.4 Reb, 0.2 Ast",
35,SO,F,6-10,225,"Jefferson City, MO",Blair Oaks (MO),,"2.3 Pts, 2.0 Reb, 0.7 Ast",
11,SO,G,6-5,190,"Houston, TX",Westfield HS,,"0.7 Pts, 0.2 Reb, 0.2 Ast",
13,SO,F,6-8,220,"Des Moines, IA",Grand View Christian School,,"8.0 Pts, 7.0 Reb, 2.0 Ast",
