Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,FR,F,6-10,250,"Seattle, WA",O'Dea HS,2 (2021),"17.2 Pts, 7.8 Reb, 3.2 Ast",
0,JR,F,6-5,216,"Charlotte, NC",Cox Mill (NC),25 (2019),"13.4 Pts, 5.3 Reb, 4.4 Ast",
15,SO,C,7-0,243,"Virginia Beach, VA",IMG Academy,25 (2020),"11.2 Pts, 7.4 Reb, 0.9 Ast",
1,FR,G,6-4,221,"Clinton, MD",Paul VI HS,19 (2021),"11.5 Pts, 3.4 Reb, 2.7 Ast",
21,FR,F,6-6,222,"White Plains, NY",Archbishop Stepinac HS,18 (2021),"10.4 Pts, 3.9 Reb, 1.0 Ast",
3,SO,G,6-1,175,"Leesburg, VA",Paul VI HS,20 (2020),"8.6 Pts, 2.4 Reb, 3.2 Ast",
13,SR,F,6-6,201,"Fayetteville, NC",Trinity Christian School,37 (2018),"4.5 Pts, 1.2 Reb, 0.4 Ast",
12,SR,F,6-9,255,"Minneapolis, MN",Champlin Park High School,,"2.8 Pts, 2.5 Reb, 0.4 Ast",
25,SR,F,6-8,225,"Charlotte, NC",Charlotte Latin High School,,"1.4 Pts, 1.1 Reb, 0.4 Ast",
2,FR,G,6-1,208,"Somerset, NJ",Blair Academy HS,,"1.0 Pts, 0.7 Reb, 0.5 Ast",
30,JR,G,6-0,185,"Durham, NC",Durham Academy,,"1.1 Pts, 0.5 Reb, 0.0 Ast",
45,JR,F,6-9,225,"Chapel Hill, NC",Blair Academy,,"0.3 Pts, 1.3 Reb, 0.0 Ast",
55,,G,5-8,160,"Los Angeles, CA",Harvard Westlake HS,,"0.3 Pts, 0.3 Reb, 0.0 Ast",
52,,C,7-0,240,"Istanbul, TÃ¼rkiye",Istanbul Int'l Community School,,"0.0 Pts, 1.0 Reb, 0.0 Ast",
