Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,SR,G,6-2,180,"Lorain, OH",Lorain HS,,"16.4 Pts, 3.4 Reb, 2.4 Ast",
1,SR,G,6-3,175,"Covington, GA",Newton HS,,"15.0 Pts, 3.3 Reb, 3.8 Ast",
2,SO,F,6-9,215,"Memphis, TN",Memphis Health Sciences (TN); Speights Academy (FL),,"7.2 Pts, 4.8 Reb, 0.7 Ast",
34,SR,F,6-7,192,"Bamako, Mali",Our Savior New American (NY),,"6.9 Pts, 5.7 Reb, 1.1 Ast",
3,SO,G,5-9,160,"Detroit, MI",Orchard Lake St. Mary's (MI),,"5.2 Pts, 1.8 Reb, 2.4 Ast",
44,FR,G,6-4,185,"McKees Rocks, PA",Our Lady of the Sacred Heart (PA); First Love Christian Academy (PA),,"6.4 Pts, 2.5 Reb, 1.0 Ast",
0,SR,F,6-10,230,"Belgrade, Serbia",Niles Notre Dame (IL),,"4.5 Pts, 2.0 Reb, 0.5 Ast",
23,SR,F,6-7,225,"Saint Petersburg, Russia",BC Zenit (Russia),,"5.9 Pts, 3.5 Reb, 1.1 Ast",
4,SR,C,6-7,250,"Reynoldsburg, OH",Woodstock Academy,,"3.6 Pts, 2.8 Reb, 0.6 Ast",
7,FR,F,6-8,210,"Blansko, Czechia",Gymnazium Blansko (Czechia),,"2.6 Pts, 1.9 Reb, 0.4 Ast",
5,SO,F,6-9,220,"Cotonou, Benin",Our Saviour New American (NY); Montverde Academy (FL); Scotland Campus (PA),,"2.0 Pts, 2.0 Reb, 0.1 Ast",
14,SO,F,6-8,205,"Poruba, Slovakia",Wasatch Academy (UT),,"2.0 Pts, 1.1 Reb, 0.3 Ast",
33,SR,F,6-7,190,"Bamako, Mali",Our Savior New American (NY),,"3.4 Pts, 3.2 Reb, 0.5 Ast",
,FR,G,6-0,160,"Toronto, Canada",Hargrave Military Academy (VA),,"1.0 Pts, 0.6 Reb, 0.9 Ast",
22,JR,F,6-6,200,"Cleveland, OH",International Sports Academy,,"1.2 Pts, 0.6 Reb, 0.0 Ast",
32,FR,G,6-1,170,"Pittsburgh, PA",Taylor Allderdice (PA),,"0.0 Pts, 1.0 Reb, 0.0 Ast",
31,FR,G,6-2,185,"Holland, PA",Holy Ghost Prep (PA),,"0.0 Pts, 1.0 Reb, 0.0 Ast",
30,FR,G,6-1,175,"Willoughby Hills, OH",St. Edward (OH),,"0.0 Pts, 0.5 Reb, 0.5 Ast",
