Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,SR,G,6-4,185,"Gary, IN",Twenty-First Century HS,,"18.2 Pts, 6.3 Reb, 2.9 Ast",
,SR,F,7-1,240,"Nalchick, Russia",Putnam Science Academy,,"15.7 Pts, 6.9 Reb, 0.7 Ast",
,SR,G,6-2,185,"Summit, MS",North Pike HS,,"13.1 Pts, 5.9 Reb, 1.6 Ast",
,JR,G,6-3,170,"Garnerville, NY",Bosco Institute (IN),,"9.3 Pts, 2.7 Reb, 1.8 Ast",
23,SR,G,6-4,186,"Canton, MS",Canton (MS),,"7.2 Pts, 3.4 Reb, 1.5 Ast",
4,SR,G,6-0,190,"Gainesville, FL",The Rock School,,"6.1 Pts, 2.2 Reb, 2.6 Ast",
12,SR,G,6-3,185,"Columbus, NJ",Westtown School,,"5.6 Pts, 3.3 Reb, 2.4 Ast",
,SR,F,6-8,239,"West Palm Beach, FL",Palm Beach Lakes HS,,"4.8 Pts, 3.0 Reb, 1.3 Ast",
12,JR,F,6-7,227,"Punta Gorda, FL",Charlotte HS,,"4.0 Pts, 1.8 Reb, 0.4 Ast",
,SO,F,6-9,200,"Ocala, FL",Forest (FL),,"2.2 Pts, 1.3 Reb, 0.4 Ast",
,JR,F,6-8,225,"Pensacola, FL",Pensacola (FL),,"0.7 Pts, 0.4 Reb, 0.2 Ast",
30,SO,F,6-8,210,"Malibu, CA",Oak Park (CA),,"1.0 Pts, 0.2 Reb, 0.0 Ast",
21,JR,G,5-11,160,"San Juan, Puerto Rico",Saint Andrew's School,,"2.0 Pts, 0.0 Reb, 1.0 Ast",
13,SO,G,6-4,185,"White Plains, NY",Choate Rosemary Hall (CT),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
