Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,SR,G,6-3,190,"Cleveland Heights, OH",Cornerstone Christian Academy,,"17.7 Pts, 3.4 Reb, 2.8 Ast",
20,SR,F,6-7,210,"Summerville, SC",Pinewood Prep,,"15.6 Pts, 7.1 Reb, 3.2 Ast",
1,SO,G,6-1,165,"Nashville, TN",Hillsboro HS,,"11.9 Pts, 3.7 Reb, 3.9 Ast",
5,JR,G,6-4,200,"Atlanta, GA",Drew Charter HS,,"10.6 Pts, 5.1 Reb, 1.2 Ast",
13,JR,F,6-9,205,"Charlotte, NC",Concord First Assembly Academy,,"7.9 Pts, 4.1 Reb, 1.7 Ast",
24,SO,F,6-5,205,"Xenia, OH",Archbishop Moeller HS,,"6.3 Pts, 2.8 Reb, 0.6 Ast",
4,FR,F,6-7,210,"Elmhurst, IL",Timothy Christian (IL),,"4.8 Pts, 3.1 Reb, 0.4 Ast",
15,SO,F,6-6,210,"Columbus, OH",Thomas Worthington HS,,"4.7 Pts, 2.3 Reb, 0.6 Ast",
11,SO,G,6-4,180,"Raleigh, NC",Leesville Road HS,,"2.5 Pts, 1.6 Reb, 2.1 Ast",
22,JR,G,6-0,170,"Maryville, TN",Maryville HS,,"1.6 Pts, 0.6 Reb, 1.6 Ast",
12,JR,F,6-10,205,"Orlando, FL",Lake Howell HS,,"1.4 Pts, 0.4 Reb, 0.0 Ast",
14,SR,G,6-1,160,"Easley, SC",Easley HS,,"0.2 Pts, 0.1 Reb, 0.1 Ast",
0,JR,G,6-0,180,"Greenville, SC",J.L. Mann (SC),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
