Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
11,SR,G,6-1,205,"Ypsilanti, MI",Ypsilanti High School,,"14.7 Pts, 3.5 Reb, 3.2 Ast",
12,SR,G,6-3,190,"Douglasville, GA",South Paulding High School,,"12.5 Pts, 4.0 Reb, 3.8 Ast",
2,SR,G,5-10,170,"Indianapolis, IN",Findlay College Prep,,"11.2 Pts, 3.2 Reb, 2.6 Ast",
25,JR,F,6-10,230,"Detroit, MI",University of Detroit Jesuit (MI),,"7.9 Pts, 6.2 Reb, 0.6 Ast",
10,JR,G,6-3,185,"Warner Robins, GA",Warner Robins HS,,"7.7 Pts, 3.4 Reb, 0.9 Ast",
1,SR,F,6-8,225,"Kinshasa, Democratic Republic of the Congo",The RISE Centre Academy,,"8.9 Pts, 9.5 Reb, 0.5 Ast",
0,SO,G,5-10,165,"Durham, NC",Oak Hill Academy,,"5.3 Pts, 1.2 Reb, 1.2 Ast",
15,FR,F,6-7,230,"Marietta, GA",Wheeler HS,,"5.0 Pts, 4.6 Reb, 0.3 Ast",
4,JR,G,6-1,180,"Chattanooga, TN",Hamilton Heights Christian Academy,,"5.2 Pts, 1.8 Reb, 2.2 Ast",
24,SO,G,6-3,205,"North Little Rock, AR",Sunrise Christian Academy,,"1.8 Pts, 1.4 Reb, 0.5 Ast",
30,SO,F,6-6,230,"Fuquay-Varina, NC",Holly Springs HS,,"2.1 Pts, 1.7 Reb, 0.3 Ast",
33,FR,F,6-6,195,"Richmond Hill, GA",Pebblebrook HS,,"1.8 Pts, 1.7 Reb, 0.1 Ast",
14,FR,F,6-7,180,,,,"1.8 Pts, 0.8 Reb, 0.1 Ast",
21,JR,G,6-5,170,"Alpharetta, GA",Alpharetta HS,,"0.6 Pts, 0.8 Reb, 0.1 Ast",
31,JR,G,5-11,175,"Peachtree City, GA",McIntosh (GA),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
20,FR,G,6-0,174,"Austell, GA",Pebblebrook HS,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
