Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,SR,F,6-10,235,"Richardson, TX",Pearce (TX),42 (2019),"21.2 Pts, 7.5 Reb, 3.2 Ast",
0,JR,G,6-7,205,"Las Vegas, NV",Liberty HS,58 (2020),"15.2 Pts, 6.2 Reb, 1.3 Ast",
22,SR,F,6-8,225,"Spokane, WA",Gonzaga Prep,48 (2019),"11.1 Pts, 6.2 Reb, 2.4 Ast",
45,SR,G,6-3,185,"Petersburg, VA",Massanutten Academy,,"10.1 Pts, 1.9 Reb, 2.5 Ast",
13,SR,G,6-4,205,"Belleville, IL",West HS,,"8.7 Pts, 3.6 Reb, 1.4 Ast",
11,SO,G,6-2,185,"Seattle, WA",Wasatch Academy,26 (2021),"7.7 Pts, 2.4 Reb, 3.1 Ast",
33,SO,F,6-10,225,"Clackamas, OR",Clackamas HS,,"5.1 Pts, 3.0 Reb, 0.7 Ast",
5,SO,G,6-5,175,"Omaha, NE",Millard North HS,15 (2021),"4.5 Pts, 2.2 Reb, 1.4 Ast",
15,SO,C,6-11,238,"Richmond, VA",IMG Academy,24 (2021),"2.1 Pts, 1.0 Reb, 0.1 Ast",
25,SO,F,6-7,210,"Los Angeles, CA",Loyola HS,,"2.6 Pts, 1.0 Reb, 0.0 Ast",
55,SO,G,6-3,190,"Murrieta, CA",Rancho Christian School,64 (2020),"1.5 Pts, 0.6 Reb, 0.5 Ast",
30,SO,F,6-9,225,"Los Angeles, CA",Chaminade Prep HS,,"0.8 Pts, 0.2 Reb, 0.2 Ast",
