Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,JR,G,6-4,180,"Greenville, SC",Legacy Early College (SC),,"17.8 Pts, 4.0 Reb, 3.6 Ast",
30,SR,F,6-7,220,"Gilbert, AZ",Putnam Science Academy,,"12.8 Pts, 7.6 Reb, 0.9 Ast",
2,SO,G,6-2,170,"Vallejo, CA",Golden State Prep,,"10.9 Pts, 3.1 Reb, 2.1 Ast",
20,SR,G,6-6,215,"Phoenix, AZ",Desert Vista High School,,"7.6 Pts, 3.4 Reb, 0.7 Ast",
22,JR,G,6-4,175,"Tempe, AZ",McClintock (AZ),,"5.8 Pts, 2.4 Reb, 2.3 Ast",
3,FR,G,6-5,185,"Tampa, FL",Tampa Catholic (FL),,"5.3 Pts, 1.7 Reb, 1.2 Ast",
55,SR,F,6-5,190,"Granger, IN",Brewster Academy,,"5.0 Pts, 2.3 Reb, 0.7 Ast",
24,JR,F,6-9,245,"Bordeaux, France",Institut national du sport (France),,"5.0 Pts, 5.9 Reb, 0.4 Ast",
10,JR,G,5-11,155,"Phoenix, AZ",Shadow Mountain HS,,"10.7 Pts, 2.3 Reb, 2.4 Ast",
13,SR,F,6-10,245,"Dublin, Republic of Ireland",Lawrence Woodmere Academy,49 (2019),"2.6 Pts, 3.3 Reb, 0.2 Ast",
33,FR,G,6-7,190,"Rome, Italy",PHH Prep,,"4.4 Pts, 1.6 Reb, 0.6 Ast",
21,SO,F,6-9,215,"Cedarburg, WI",Cedarburg HS,,"2.0 Pts, 1.4 Reb, 0.4 Ast",
23,FR,F,7-0,240,"Las Cruces, NM",Las Cruces (NM),,"0.9 Pts, 1.8 Reb, 0.1 Ast",
