Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-1,190,"Red Oak, TX",Red Oak HS,,"16.8 Pts, 2.8 Reb, 3.1 Ast",
25,FR,F,6-8,240,"New Freedom, PA",Susquehannock (PA); IMG Academy (FL),8 (2022),"11.2 Pts, 6.8 Reb, 1.8 Ast",
1,JR,G,6-1,190,"Manor, TX",Manor HS,,"10.5 Pts, 3.0 Reb, 5.4 Ast",
12,JR,G,6-5,180,"Dickinson, TX",Dickinson HS,75 (2020),"10.1 Pts, 4.9 Reb, 1.8 Ast",
13,JR,F,6-7,220,"St. Thomas, U.S. Virgin Islands",Shoemaker (TX),,"10.0 Pts, 7.7 Reb, 1.2 Ast",
21,FR,G,6-3,205,"Tampa, FL",Bishop McLaughlin (FL),,"5.9 Pts, 2.2 Reb, 0.5 Ast",
5,SO,F,6-8,225,"New Orleans, LA",Montverde Academy (Fla.),,"4.3 Pts, 3.5 Reb, 0.2 Ast",
23,FR,G,6-5,195,"Beaumont, TX",Beaumont United (TX),38 (2022),"3.7 Pts, 2.5 Reb, 0.6 Ast",
32,SR,F,6-8,225,"Tulsa, OK",Findlay Prep,,"3.0 Pts, 2.7 Reb, 0.3 Ast",
3,SO,G,6-4,210,"Pearland, TX",Shadow Creek HS,,"2.9 Pts, 2.5 Reb, 0.4 Ast",
20,JR,G,6-0,155,"Round Rock, TX",Cedar Ridge HS,,"1.5 Pts, 0.3 Reb, 0.0 Ast",
4,SR,C,6-9,250,"Gaffney, SC",Gaffney HS,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
