Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
34,JR,G,6-4,220,"Brentwood, NY",Brentwood (NY); Greensboro Day School (NC); Putnam Science Academy (CT),,"16.6 Pts, 7.5 Reb, 1.7 Ast",
5,JR,G,6-2,170,"Washington, DC",Brewster Academy HS,,"13.5 Pts, 3.3 Reb, 1.8 Ast",
31,SR,F,6-9,230,"Columbus, OH",Northland (OH),,"14.2 Pts, 6.5 Reb, 2.5 Ast",
23,JR,G,6-0,160,"Fairfax, VA",Flint Hill (VA),,"6.2 Pts, 1.8 Reb, 1.1 Ast",
2,SO,F,6-9,268,"Scarborough, ME",The Wynflete School (ME); Phillips Exeter Academy (NH),,"7.8 Pts, 4.5 Reb, 1.0 Ast",
,SO,F,6-6,229,"Chatsworth, CA",Sierra Canyon (CA),,"8.4 Pts, 3.3 Reb, 2.3 Ast",
3,JR,G,6-4,165,"Sewickley, PA",Central Valley HS,,"7.3 Pts, 3.1 Reb, 3.0 Ast",
8,SR,G,6-0,175,"Brooklyn Park, MN",Champlin Park (MN),,"3.5 Pts, 1.5 Reb, 1.2 Ast",
11,SO,G,6-5,191,"Brampton, Canada",J Addison (ON); United Scholastic Academy (ON),,"4.0 Pts, 2.9 Reb, 0.8 Ast",
5,SR,G,6-5,195,"Washington, DC",Sidwell Friends HS,,"6.9 Pts, 4.6 Reb, 3.7 Ast",
40,FR,F,6-7,205,"Brisbane, Australia",,,"2.1 Pts, 1.2 Reb, 0.4 Ast",
12,SR,G,6-6,190,"Washington, DC",Sidwell Friends (DC),,"1.6 Pts, 1.1 Reb, 0.3 Ast",
4,SO,F,6-7,195,"Orlando, FL",Lake Highland Prep,,"0.8 Pts, 1.2 Reb, 0.1 Ast",
10,SR,G,6-4,180,"Westlake Village, CA",Oaks Christian School,,"2.3 Pts, 0.3 Reb, 0.0 Ast",
14,SO,F,6-9,250,"Lagos, Nigeria",NBA Academy Africa,,"1.4 Pts, 1.0 Reb, 0.1 Ast",
13,SR,G,5-10,165,"Upper Marlboro, MD",Riverdale Baptist HS,,"0.6 Pts, 0.2 Reb, 0.4 Ast",
20,FR,G,6-2,,"South Orange, NJ",Rutgers Prep (NJ),,"0.8 Pts, 0.4 Reb, 0.4 Ast",
