Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,G,6-4,200,"Philadelphia, PA",Archbishop Ryan High School,,"16.9 Pts, 6.8 Reb, 1.6 Ast",
11,FR,G,6-0,178,"Racine, WI",St. Catherines HS,34 (2021),"11.0 Pts, 3.5 Reb, 4.9 Ast",
22,SR,G,6-4,200,"Edina, MN",DeLaSalle HS,,"9.6 Pts, 2.4 Reb, 1.7 Ast",
2,JR,G,6-3,195,"Maize, KS",Maize HS (KS),,"6.4 Pts, 2.6 Reb, 1.5 Ast",
5,SR,F,6-8,212,"Ljubljana, Slovenia",Impact Academy-Fla,,"6.0 Pts, 4.1 Reb, 1.0 Ast",
4,SR,F,6-10,245,"Chicago, IL",Corliss HS,,"4.9 Pts, 3.5 Reb, 1.9 Ast",
23,JR,G,6-8,200,"Almere, Netherlands",Wasatch Academy (UT),74 (2019),"4.3 Pts, 2.9 Reb, 0.3 Ast",
3,JR,G,6-1,186,"Columbia, SC",Blythewood (SC),,"3.7 Pts, 1.0 Reb, 0.7 Ast",
12,JR,F,6-10,225,"Prior Lake, MN",Prior Lake HS,,"2.9 Pts, 2.4 Reb, 0.8 Ast",
21,SO,G,6-5,196,"Lawrenceville, GA",Core Four Prep,,"2.3 Pts, 1.0 Reb, 0.6 Ast",
15,SR,G,6-1,199,"Leon, IA",Central Decatur HS,,"0.3 Pts, 0.0 Reb, 0.2 Ast",
