Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
23,SR,G,6-3,200,"Montgomery, AL",Carver High School,,"15.4 Pts, 5.2 Reb, 3.8 Ast",
22,SR,G,6-3,180,"Waldorf, MD",North Point High School,,"11.0 Pts, 3.9 Reb, 1.7 Ast",
1,JR,G,6-0,180,"Tulsa, OK",Will Rogers (OK),,"10.5 Pts, 2.1 Reb, 2.2 Ast",
11,SR,G,6-7,210,"London, United Kingdom",St. Charles Catholic (England),,"9.3 Pts, 5.5 Reb, 0.8 Ast",
50,SR,F,6-10,225,"Goldsboro, NC",Word of God Christian Academy,,"8.9 Pts, 5.9 Reb, 0.2 Ast",
0,JR,G,6-1,165,"Raleigh, NC",Broughton (NC),,"9.1 Pts, 3.1 Reb, 4.3 Ast",
3,JR,C,6-11,265,"Kosice, Slovakia",Get Better Academy,,"3.2 Pts, 3.3 Reb, 0.3 Ast",
10,JR,F,6-6,200,"Sumter, SC",Lakewood HS,,"3.1 Pts, 2.1 Reb, 0.4 Ast",
13,SO,G,6-9,190,"Omaha, NE",Omaha Central (NE),,"2.9 Pts, 2.5 Reb, 0.6 Ast",
5,FR,G,6-1,160,"Conyers, GA",Newton HS,,"1.2 Pts, 0.7 Reb, 0.1 Ast",
4,SO,F,6-7,210,"Memphis, TN",Briarcrest Christian HS,,"1.0 Pts, 0.9 Reb, 0.2 Ast",
2,SO,G,6-2,180,"Chicago, IL",Downers Grove North HS,,"0.8 Pts, 0.7 Reb, 0.6 Ast",
20,FR,G,6-3,,,,,"0.9 Pts, 0.0 Reb, 0.0 Ast",
