Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
,JR,G,6-6,190,"Decatur, GA",Tucker HS,,"17.2 Pts, 4.4 Reb, 3.4 Ast",
3,SR,F,6-9,207,"Atlanta, GA",Sandy Creek HS,,"13.3 Pts, 8.4 Reb, 1.7 Ast",
1,SR,G,6-4,185,"Tea, SD",Tea HS,,"11.9 Pts, 5.3 Reb, 1.7 Ast",
22,SR,F,6-8,225,"Roanoke, VA",Roanoke Northside (VA),,"9.9 Pts, 3.2 Reb, 1.2 Ast",
13,SR,G,5-11,155,"Bronx, NY",Mount St. Michael Academy,,"7.3 Pts, 1.3 Reb, 3.3 Ast",
,FR,F,6-8,245,"Davie, FL",Westminster Academy (FL),,"7.0 Pts, 4.3 Reb, 0.8 Ast",
,JR,F,6-6,200,"Santee, SC",Vermont Academy,,"6.9 Pts, 4.3 Reb, 1.0 Ast",
1,SO,G,6-2,170,"Williamsburg, VA",Jamestown (VA),,"6.3 Pts, 2.6 Reb, 2.0 Ast",
4,SR,G,6-4,190,"Durham, NC",Durham Academy,,"1.6 Pts, 0.6 Reb, 0.8 Ast",
,SO,G,6-7,190,"Silver Spring, MD",Maret School,87 (2021),"3.8 Pts, 1.4 Reb, 0.0 Ast",
33,SO,F,6-9,225,"Upper Marlboro, MD",DeMatha Catholic (MD),,"1.7 Pts, 1.3 Reb, 0.2 Ast",
,SR,G,6-0,180,"Falls Church, VA",Tilton School,,"0.6 Pts, 0.6 Reb, 0.0 Ast",
35,SO,F,6-6,170,"Woodbridge, VA",Woodbridge HS,,"0.5 Pts, 0.4 Reb, 0.2 Ast",
20,JR,G,5-9,185,"Virginia Beach, VA",Princess Anne (VA),,"0.7 Pts, 0.1 Reb, 0.0 Ast",
30,FR,G,6-3,195,"Henrico, VA",Freeman (VA),,"0.3 Pts, 0.3 Reb, 0.2 Ast",
