Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,G,5-7,155,"Harlem, NY",St. Patrick HS,,"17.6 Pts, 3.5 Reb, 8.3 Ast",
11,SR,F,6-5,229,"Norfolk, VA",Oak Hill Academy,69 (2018),"17.4 Pts, 6.8 Reb, 2.1 Ast",
35,JR,F,6-10,210,"Harlem, NY",Urban Assembly School (NY) [Did not play],,"10.4 Pts, 5.9 Reb, 1.2 Ast",
13,SR,G,6-1,202,"Jonesboro, AR",Jonesboro HS,,"8.7 Pts, 3.5 Reb, 2.2 Ast",
5,SO,G,6-3,185,"Donaldsonville, LA",Oak Hill Academy,,"6.5 Pts, 3.0 Reb, 1.4 Ast",
3,JR,F,6-9,205,"De Lier, Netherlands",Mt. Zion Prep,,"6.4 Pts, 3.5 Reb, 0.8 Ast",
25,JR,F,6-8,220,"East Harlem, NY",MacDuffie School,,"5.4 Pts, 1.7 Reb, 0.5 Ast",
23,SR,F,6-9,230,"Atlanta, GA",Greenforest Christian High School,,"3.4 Pts, 2.8 Reb, 0.3 Ast",
4,SR,G,6-4,205,"Queens, NY",Long Island Lutheran (NY),,"2.7 Pts, 1.9 Reb, 0.3 Ast",
24,FR,G,6-5,190,"New Orleans, LA",Carver (LA),,"2.0 Pts, 2.3 Reb, 1.2 Ast",
21,SR,G,6-3,190,"Manhattan, KS",Manhattan (KS),,"0.3 Pts, 0.0 Reb, 0.1 Ast",
