Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,JR,F,6-8,215,"Denton, TX",John H. Guyer HS,51 (2019),"20.1 Pts, 8.3 Reb, 2.2 Ast",
4,FR,G,6-8,205,"Wichita, KS",Sunrise Christian (KS),16 (2022),"14.1 Pts, 5.1 Reb, 1.7 Ast",
24,SO,F,6-7,225,"Austin, TX",Westlake HS,66 (2021),"10.6 Pts, 4.3 Reb, 1.9 Ast",
15,SR,G,6-6,205,"San Antonio, TX",Wagner HS,,"10.7 Pts, 7.0 Reb, 2.4 Ast",
3,SR,G,6-1,160,"Columbia, MO",Rock Bridge HS,,"8.9 Pts, 2.5 Reb, 6.2 Ast",
1,JR,G,6-0,180,"Bolingbrook, IL",Bolingbrook HS,,"4.1 Pts, 1.2 Reb, 0.4 Ast",
23,FR,C,6-11,250,"Orlando, FL",Dr. Phillips (FL),28 (2022),"2.6 Pts, 1.8 Reb, 0.3 Ast",
0,SO,G,6-1,190,"Durham, NC",South Granville HS,98 (2021),"2.2 Pts, 1.2 Reb, 1.3 Ast",
11,FR,G,6-5,215,"Durham, NC",Durham Academy (NC); Oak Hill Academy (VA); Prolific Prep (CA),27 (2022),"2.2 Pts, 1.0 Reb, 0.2 Ast",
35,FR,F,6-9,240,"Garland, TX",Garland (TX),50 (2022),"1.2 Pts, 1.7 Reb, 0.2 Ast",
21,SO,F,6-10,225,"San Antonio, TX",Sunrise Christian Academy,43 (2021),"1.4 Pts, 1.3 Reb, 0.1 Ast",
20,SR,G,6-5,185,"Dallas, TX",Northfield Mount Hermon School (MA),,"1.1 Pts, 0.0 Reb, 0.0 Ast",
31,SR,F,6-9,230,"Yukon, OK",Yukon High School,,"1.8 Pts, 0.5 Reb, 0.0 Ast",
5,FR,G,6-2,180,"Harlem, NY",Blair Academy,,"0.0 Pts, 0.5 Reb, 0.0 Ast",
22,FR,F,6-9,240,"San Diego, CA",Cathedral Catholic HS,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
