Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,SR,G,6-1,180,"Solon, OH",Solon HS,,"17.5 Pts, 3.7 Reb, 4.8 Ast",
2,SR,G,6-4,190,"Wilmington, NC",New Hanover (NC),,"12.8 Pts, 5.3 Reb, 3.7 Ast",
33,SR,F,6-8,200,"Cleveland, OH",Cleveland Central Catholic High School,,"10.5 Pts, 5.5 Reb, 0.8 Ast",
13,SO,G,5-10,170,"Columbus, OH",Thomas Worthington HS,,"8.6 Pts, 1.3 Reb, 0.7 Ast",
1,JR,F,6-5,210,"Columbus, OH",Walnut Ridge HS,,"6.7 Pts, 3.5 Reb, 0.4 Ast",
4,SR,F,6-7,210,"Bloomington, IL",Bloomington (IL),,"6.7 Pts, 4.8 Reb, 0.4 Ast",
42,SO,C,6-9,224,"Toledo, OH",St. Francis De Sales HS,,"5.4 Pts, 5.0 Reb, 0.3 Ast",
11,SR,G,6-1,155,"Bayamon, Puerto Rico",Cincinnati Hughes (OH),,"7.5 Pts, 1.8 Reb, 1.7 Ast",
23,FR,F,6-8,215,"Benton Harbor, MI",East Coweta (GA),,"2.4 Pts, 1.7 Reb, 0.1 Ast",
0,FR,G,6-6,189,"Chicago, IL",Hillcrest HS,,"2.0 Pts, 1.6 Reb, 0.4 Ast",
34,JR,F,6-9,230,"Lagos, Nigeria",Catholic HS,,"1.2 Pts, 0.8 Reb, 0.0 Ast",
