Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
34,JR,F,6-9,260,"Lubumbashi, Democratic Republic of the Congo",Kennedy Catholic HS,28 (2019),"17.4 Pts, 15.1 Reb, 1.1 Ast",
3,FR,G,6-3,197,"Phoenix, AZ",AZ Compass Prep (AZ),14 (2021),"12.5 Pts, 3.5 Reb, 3.9 Ast",
31,SR,G,6-5,205,"Boston, MA",Northfield Mount Hermon School,82 (2017),"11.4 Pts, 2.1 Reb, 1.3 Ast",
12,JR,F,6-7,205,"Fort Wayne, IN",La Lumiere School,24 (2019),"10.8 Pts, 4.4 Reb, 1.0 Ast",
2,JR,G,5-10,180,"Houston, TX",Houston Christian HS,85 (2019),"10.1 Pts, 2.6 Reb, 6.9 Ast",
10,SR,G,6-3,196,"Charlotte, NC",North Mecklenburg High School,,"8.5 Pts, 2.2 Reb, 1.8 Ast",
0,JR,F,6-9,194,"Ossining, NY",Woodstock Academy,,"6.2 Pts, 3.2 Reb, 1.1 Ast",
4,FR,F,6-9,202,"Atlanta, TX",Atlanta HS,12 (2021),"2.9 Pts, 2.0 Reb, 0.1 Ast",
23,FR,F,6-6,220,"Oak Park, IL",Fenwick (IL),33 (2021),"2.1 Pts, 1.4 Reb, 0.3 Ast",
55,SO,F,6-9,223,"Camden, NJ",Camden HS,39 (2020),"1.5 Pts, 1.9 Reb, 0.1 Ast",
11,SO,G,6-6,198,"Falmouth, KY",Pendleton County HS,92 (2019),"2.2 Pts, 1.2 Reb, 0.3 Ast",
20,JR,G,6-4,215,"Lexington, KY",Lexington Catholic HS,,"0.9 Pts, 0.2 Reb, 0.0 Ast",
14,JR,F,6-6,198,"Mount Sterling, KY",George Rogers Clark HS,,"0.7 Pts, 0.1 Reb, 0.1 Ast",
25,SO,G,5-8,145,"Camden, NJ",Kingsway (NJ),,"0.0 Pts, 0.3 Reb, 0.2 Ast",
