Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
13,SO,F,6-8,215,"Seattle, WA",Garfield HS,93 (2020),"16.9 Pts, 6.6 Reb, 1.0 Ast",
4,SR,F,6-7,245,"Raleigh, FL",IMG Academy,59 (2018),"13.7 Pts, 7.8 Reb, 0.9 Ast",
0,FR,G,6-5,214,"Baltimore, MD",IMG Academy,89 (2021),"10.0 Pts, 3.0 Reb, 1.9 Ast",
2,SO,G,6-2,155,"Lithonia, GA",Lithonia HS,,"9.0 Pts, 3.3 Reb, 2.9 Ast",
1,SR,G,6-2,170,"Chicago, IL",Simeon Academy,,"9.8 Pts, 2.4 Reb, 4.8 Ast",
15,FR,C,6-11,238,"Richmond, VA",IMG Academy,24 (2021),"6.3 Pts, 4.3 Reb, 0.5 Ast",
5,SO,F,6-5,215,"Las Vegas, NV",Bishop Gorman HS,68 (2020),"4.0 Pts, 3.0 Reb, 0.9 Ast",
3,FR,F,6-8,185,"Jacksonville, FL",Robert E. Lee HS,,"3.3 Pts, 3.2 Reb, 0.3 Ast",
24,JR,F,6-10,225,"Los Angeles, CA",Crossroads School,38 (2018),"2.9 Pts, 2.1 Reb, 0.1 Ast",
11,FR,G,6-3,175,"Philadelphia, PA",Roman Catholic (PA); Monteverde Academy (FL),,"1.7 Pts, 0.8 Reb, 0.7 Ast",
30,JR,G,6-2,185,"Mandeville, LA",St. Paul's HS,,"1.6 Pts, 0.1 Reb, 0.1 Ast",
21,FR,F,6-8,246,"Torrance, CA",Oak Hill Academy,,"1.6 Pts, 0.9 Reb, 0.0 Ast",
20,FR,C,6-10,216,"Houston, TX",Houston HS,82 (2021),"0.5 Pts, 1.3 Reb, 0.5 Ast",
25,FR,F,6-5,230,"Helotes, TX",Sandra Day O'Connor HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
10,SO,G,6-0,175,"Los Angeles, CA",University HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
22,JR,G,6-3,196,"Baton Rouge, LA",,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
