Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,G,6-4,205,"Chicago, IL",Whitney Young High School,,"13.7 Pts, 5.0 Reb, 3.1 Ast",
4,JR,G,6-0,180,"Hilliard, OH",Hilliard Bradley HS,,"10.4 Pts, 2.8 Reb, 3.9 Ast",
13,SR,G,6-6,205,"Matthews, NC",Weddington High School,,"9.2 Pts, 2.8 Reb, 1.1 Ast",
30,SR,F,6-7,225,"Edmonton, Canada",Harry Ainlay Composite High School,,"8.9 Pts, 4.3 Reb, 1.7 Ast",
23,SR,F,6-7,225,"Madison, WI",Madison East High School,,"7.6 Pts, 4.1 Reb, 0.7 Ast",
12,JR,G,6-1,175,"Chicago, IL",Brother Rice HS,,"7.9 Pts, 4.2 Reb, 2.0 Ast",
24,SR,G,6-6,220,"Greenfield, IN",Greenfield-Central (IN),,"5.6 Pts, 4.4 Reb, 1.2 Ast",
22,SO,C,6-10,240,"Edina, MN",Edina HS,,"5.0 Pts, 2.0 Reb, 0.7 Ast",
10,JR,F,6-8,220,"Naperville, IL",Naperville North HS,,"3.5 Pts, 1.6 Reb, 0.4 Ast",
5,SR,G,6-1,180,"Norcross, GA",Vincennes HS,,"2.4 Pts, 0.5 Reb, 0.5 Ast",
0,FR,F,6-7,200,"Omaha, NE",Millard North HS,,"1.8 Pts, 1.0 Reb, 0.4 Ast",
45,SR,F,6-7,205,"Zionsville, IN",Zionsville Community HS,,"1.4 Pts, 0.7 Reb, 0.1 Ast",
2,FR,G,6-3,180,"Chicago, IL",DePaul College Prep,,"0.8 Pts, 0.5 Reb, 0.3 Ast",
