Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,G,6-2,185,"Hyattsville, MD",Dematha Catholic HS,,"15.8 Pts, 4.6 Reb, 3.1 Ast",
13,SR,G,6-6,200,"Philadelphia, PA",Roman Catholic HS,,"11.4 Pts, 4.1 Reb, 2.6 Ast",
24,SR,F,6-7,225,"Philadelphia, PA",Imhotep Charter,,"11.3 Pts, 6.0 Reb, 1.6 Ast",
10,SO,F,6-9,230,"Baltimore, MD",St. Frances Academy,52 (2021),"11.4 Pts, 7.2 Reb, 1.0 Ast",
0,SR,G,6-5,187,"Upper Marlboro, MD",Frederick Douglass High School,,"7.4 Pts, 1.9 Reb, 1.1 Ast",
23,JR,G,6-3,181,"Heredia, Costa Rica",JSerra Catholic HS,60 (2020),"5.7 Pts, 2.5 Reb, 0.6 Ast",
15,SR,F,6-6,205,"Toronto, Canada",Toronto Basketball Academy,,"2.8 Pts, 2.8 Reb, 0.3 Ast",
2,JR,G,6-5,210,"Houston, TX",Episcopal HS,,"2.1 Pts, 0.7 Reb, 1.1 Ast",
11,FR,G,6-6,185,"Frederick, MD",St. Maria Goretti (MD); Glenelg Country School (MD); IMG Academy (FL),,"1.6 Pts, 1.2 Reb, 0.3 Ast",
20,FR,G,6-6,185,"Baltimore, MD",Legacy Charter HS,,"1.4 Pts, 0.3 Reb, 0.0 Ast",
35,FR,C,6-11,220,"Calgary, Canada",Edge School (AB),,"0.8 Pts, 0.9 Reb, 0.0 Ast",
30,JR,G,6-2,,,,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
12,JR,F,6-8,225,"Kirichkova, Ukraine",Basquet HS,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
32,SO,G,6-4,180,"Hewlett, NY",Berkshire School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
31,JR,F,6-10,220,"Sion, Switzerland",Bourg-en-Bresse (France),,"0.0 Pts, 0.4 Reb, 0.0 Ast",
