Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,FR,C,6-11,250,"Sharon Hill, PA",Montverde Academy,,"12.0 Pts, 8.1 Reb, 1.3 Ast",
11,JR,G,6-5,205,"Brentwood, NY",IMG Academy,60 (2019),"10.0 Pts, 3.5 Reb, 1.3 Ast",
14,SR,G,5-9,150,"Memphis, TN",Cordova HS,80 (2018),"8.8 Pts, 1.2 Reb, 1.7 Ast",
12,SR,F,6-9,190,"Houston, TX",Klein Forest HS,,"11.1 Pts, 5.8 Reb, 1.7 Ast",
3,JR,G,6-7,220,"Fairburn, GA",Langston Hughes HS,72 (2018),"9.8 Pts, 3.9 Reb, 2.8 Ast",
20,FR,G,6-8,205,"Boca Raton, FL",St. Andrew's School,44 (2021),"6.6 Pts, 3.8 Reb, 0.9 Ast",
1,FR,F,6-9,190,"Ypsilanti, MI",YPSI Prep Academy,,"9.7 Pts, 3.3 Reb, 1.3 Ast",
10,SR,G,6-0,190,"Memphis, TN",East HS,,"6.1 Pts, 3.1 Reb, 4.1 Ast",
23,JR,C,6-9,232,"Memphis, TN",East HS,,"4.4 Pts, 2.6 Reb, 0.7 Ast",
0,SO,G,6-6,215,"Washington, DC",DeMatha Catholic HS,30 (2020),"4.7 Pts, 3.4 Reb, 1.6 Ast",
25,JR,G,6-5,195,"Memphis, TN",IMG Academy,,"2.9 Pts, 1.0 Reb, 0.6 Ast",
4,JR,F,6-8,205,"Memphis, TN",Wooddale HS,94 (2019),"1.6 Pts, 2.2 Reb, 0.5 Ast",
31,FR,G,6-1,170,"Memphis, TN",Bartlett HS,,"0.7 Pts, 0.3 Reb, 0.0 Ast",
15,FR,F,6-8,208,"Downingtown, PA",Brewster Academy,,"0.0 Pts, 1.0 Reb, 0.0 Ast",
30,SO,G,5-10,165,"Chicago, IL",Brother Rice HS,,"0.0 Pts, 0.0 Reb, 0.1 Ast",
