Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
23,SR,G,6-5,190,"Katy, TX",Seven Lakes High School,38 (2016),"17.8 Pts, 4.9 Reb, 2.4 Ast",
2,JR,G,6-3,180,"Piscataway, NJ",Monsignor Bonner (PA),76 (2019),"15.3 Pts, 4.3 Reb, 2.0 Ast",
3,SR,G,5-11,180,"Chicago, IL",Morgan Park High School,58 (2016),"12.4 Pts, 2.6 Reb, 4.6 Ast",
11,JR,G,6-6,202,"Middleburg, VA",Loudoun Valley HS,,"10.0 Pts, 5.9 Reb, 1.1 Ast",
21,SR,F,6-10,225,"Aukland, New Zealand",Rangitoto School,,"8.5 Pts, 4.3 Reb, 2.1 Ast",
1,JR,F,6-9,210,"Baltimore, MD",Brewster Academy,,"4.9 Pts, 2.5 Reb, 0.6 Ast",
4,FR,G,6-1,195,"Arlington, MA",Putnam Science Academy,92 (2021),"2.3 Pts, 1.6 Reb, 0.8 Ast",
55,FR,G,6-5,195,"Philadelphia, PA","Math, Civics and Sciences Charter School",,"2.3 Pts, 1.4 Reb, 0.3 Ast",
14,SR,C,7-0,250,"Laurelton, NY",Oak Hill Academy,,"1.5 Pts, 0.6 Reb, 0.1 Ast",
22,JR,F,6-11,220,"Sydney, Australia",Blair Academy,,"0.9 Pts, 0.7 Reb, 0.2 Ast",
5,JR,G,6-5,185,"Detroit, MI",Montverde Academy,56 (2019),"0.5 Pts, 1.8 Reb, 1.3 Ast",
32,,F,6-7,235,"Amsterdam, Netherlands",Brentwood School,,"0.3 Pts, 0.0 Reb, 0.0 Ast",
10,JR,G,6-3,193,"Athens, Greece",International School Of Bucharest,,"0.0 Pts, 0.2 Reb, 0.0 Ast",
