Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SO,C,7-1,255,"Alexandria, VA",DeMatha Catholic HS,37 (2020),"18.6 Pts, 8.6 Reb, 2.3 Ast",
55,SR,G,6-1,185,"Spring Grove, PA",Spring Grove High School,,"12.8 Pts, 3.7 Reb, 2.9 Ast",
22,FR,G,6-8,205,"Mississauga, Canada",Montverde Academy,6 (2021),"10.1 Pts, 4.0 Reb, 1.4 Ast",
12,SR,G,6-1,200,"New Orleans, LA",St. Augustine HS,,"10.3 Pts, 4.5 Reb, 4.6 Ast",
14,FR,F,6-11,210,"Paris, France",IMG Academy,11 (2021),"9.0 Pts, 6.0 Reb, 0.8 Ast",
5,SO,F,6-7,240,"Clinton, MD",Gonzaga College HS,95 (2020),"4.7 Pts, 2.4 Reb, 0.5 Ast",
23,SR,F,6-8,240,"East Lansing, MI",East Lansing HS,67 (2018),"3.2 Pts, 2.0 Reb, 0.4 Ast",
10,FR,G,6-1,185,"Henderson, NV",Coronado HS,41 (2021),"2.8 Pts, 1.7 Reb, 1.4 Ast",
2,FR,G,6-4,175,"Grand Rapids, MI",Grand Rapids Christian HS,40 (2021),"3.0 Pts, 1.1 Reb, 0.3 Ast",
25,SO,G,6-7,210,"Miami, FL",University School,,"1.1 Pts, 0.5 Reb, 0.2 Ast",
44,SR,F,6-10,240,"Holt, MI",Holt High School,,"0.9 Pts, 0.7 Reb, 0.1 Ast",
3,SO,G,6-5,180,"Toledo, OH",Maumee Valley (OH),77 (2020),"3.3 Pts, 1.5 Reb, 0.5 Ast",
0,SR,G,6-6,210,"Brooklyn, NY",St. Thomas More Prep,,"0.8 Pts, 0.2 Reb, 0.0 Ast",
11,FR,G,6-7,185,"Chicago, IL",Simeon Career Academy,,"0.0 Pts, 0.5 Reb, 0.0 Ast",
13,,G,6-6,200,"Winnetka, IL",New Trier HS,,"0.0 Pts, 0.0 Reb, 0.5 Ast",
