Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,SR,F,6-10,245,"Bay St. Louis, MS",Kahuku HS,,"15.7 Pts, 8.5 Reb, 1.7 Ast",
3,JR,G,6-1,180,"Greensboro, NC",Moravian Prep,,"9.8 Pts, 3.0 Reb, 2.3 Ast",
0,SR,F,6-7,215,"Olive Branch, MS",Olive Branch HS,45 (2019),"8.8 Pts, 6.4 Reb, 1.8 Ast",
10,SR,G,6-2,185,"Bronx, NY",Our Saviour Lutheran HS,,"8.7 Pts, 1.9 Reb, 3.5 Ast",
4,JR,F,6-7,220,"Olive Branch, MS",Olive Branch HS,,"6.9 Pts, 5.6 Reb, 2.3 Ast",
14,SR,F,6-8,225,"Columbus, MS",New Hope HS,,"3.9 Pts, 1.8 Reb, 0.3 Ast",
11,SR,G,6-2,190,"Baton Rouge, LA",University Laboratory (LA),,"3.7 Pts, 2.0 Reb, 0.8 Ast",
13,SR,F,6-10,265,"Philadelphia, PA",Martin Luther King HS,,"3.3 Pts, 3.3 Reb, 0.4 Ast",
30,FR,G,6-5,200,"Houston, TX",Shadow Creek (TX),,"3.2 Pts, 1.6 Reb, 0.4 Ast",
12,FR,F,6-10,245,"Birmingham, AL",Ramsay HS,,"3.3 Pts, 1.7 Reb, 0.8 Ast",
5,FR,F,6-7,215,"Clinton, MS",Clinton (MS),,"2.6 Pts, 1.0 Reb, 0.6 Ast",
2,SR,G,6-4,190,"Queens, NY",Holy Cross HS,,"1.4 Pts, 1.0 Reb, 1.4 Ast",
21,FR,G,6-2,185,"Coker, AL",Sipsey Valley (AL),,"1.7 Pts, 0.6 Reb, 0.1 Ast",
15,SR,G,6-5,215,"Birmingham, AL",Hoover (AL),,"0.8 Pts, 0.1 Reb, 0.0 Ast",
25,SR,G,6-1,160,"Bowling Green, KY",Greenwood HS,,"0.0 Pts, 0.0 Reb, 0.1 Ast",
