Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
24,SR,F,6-7,240,"Huntsville, AL",Lee HS,,"15.8 Pts, 6.4 Reb, 2.5 Ast",
5,SR,G,6-4,180,,Faith Baptist Christian (GA),,"14.7 Pts, 3.9 Reb, 1.6 Ast",
4,SR,G,6-5,215,"Gary, IN",21st Century Charter School of Gary,,"10.9 Pts, 2.4 Reb, 1.8 Ast",
35,SR,F,6-6,229,"Dubuque, IA",Dubuque Senior (IA),,"9.6 Pts, 4.0 Reb, 1.8 Ast",
10,SR,G,5-10,205,"Orlando, FL",Lake Highland Prep,,"7.9 Pts, 1.6 Reb, 2.9 Ast",
55,JR,G,6-3,175,"Louisville, KY",Combine Academy,,"7.3 Pts, 2.1 Reb, 2.5 Ast",
11,SR,F,6-5,201,"Columbia, MO",Rock Bridge (MO),,"9.6 Pts, 2.0 Reb, 2.5 Ast",
2,SR,G,6-4,215,"Augusta, GA",Aquinas (GA),,"4.8 Pts, 2.8 Reb, 1.6 Ast",
23,FR,F,6-8,195,"Overland Park, KS",Blue Valley (KS),53 (2022),"2.7 Pts, 1.7 Reb, 0.1 Ast",
0,JR,F,6-10,215,"Paris, France",Redemption Christian (NY),,"3.2 Pts, 3.3 Reb, 0.6 Ast",
13,JR,F,6-7,220,"Parker, CO",Woodstock Academy,,"2.1 Pts, 1.8 Reb, 0.2 Ast",
1,SO,G,6-6,265,"Huntsville, AL",Lee HS,,"0.8 Pts, 0.4 Reb, 0.5 Ast",
31,SR,G,6-0,152,"Cleveland, OH",Beachwood (OH),,"0.6 Pts, 0.1 Reb, 0.1 Ast",
45,JR,F,7-2,230,"Juba, South Sudan",Hamilton Southeastern HS,,"0.1 Pts, 0.4 Reb, 0.0 Ast",
12,FR,G,6-4,155,"Las Vegas, NV",Bishop Gorman (NV),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
